SMILES,mp
CCc1ccc(CC)cc1,230.32
CCCCCCCC(C)O,237.65
CCCCOCCOCCOC(C)=O,240.37
C=CC(=O)OCCCC,208.54
CCOC(=O)Cl,192.04
CCCCCCCCCCc1ccccc1,258.75
CCOCC,156.86999999999998
O=C1CCCC1,221.87
CC(C)SC(C)C,195.05
O=C1CCCCCCCCCCC1,332.15
CCCCC(=O)c1ccccc1,263.75
CCOCCOC(C)=O,211.43
CC[Si](Cl)(Cl)CC,176.64999999999998
CC=CC,133.84999999999997
O=[N+]([O-])c1ccccc1,278.71
OC1CCCCC1,295.92999999999995
c1ccc2c(c1)CCCC2,242.54
CCCC(=O)OCCC(C)C,199.95
CCOC(=O)CC,200.37
CCN(CC)CCO,203.15
CCCCCCCCCCCCCCCCC(=O)O,334.45
Cc1ccccc1C(C)C,201.65
COc1cc(OC)c2ccc(=O)oc2c1,420.15
CCCCCCCCCCCCCCc1ccccc1,289.26
O=C(c1ccccc1)c1ccc(Cl)cc1,351.15
CCOC(=O)C(C)C,184.95
CC(=O)OCCC(C)C,194.65
CCCCCCCCCCCCCC(C)=O,312.15
COc1ccccc1N,278.15
C=CC(=O)OCCOC,228.54
CCC(C)=O,186.87
CCCCCCCCCCC(C)=O,294.15
CC(=O)OCCOC(C)=O,242.04
Cc1cc(O)ccc1Cl,339.26
CCCCCCC(=O)OC,217.35
Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,335.25
CCCCOC(=O)C(C)O,230.37
CC(C)CCCCC(=O)O,273.15
CC=CCC,132.95
ClCCOCOCCCl,240.35
FC(F)(Cl)Cl,115.36999999999998
Cc1ccc(Cl)cc1N,299.15
NCc1ccccc1,227.04
CCCCCl,150.03999999999996
CCC#N,181.48
CC(=O)OC(C)=O,200.04
CCc1cccnc1,196.25
CC(C)CC(C)(C)C,165.7
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,372.05
Cc1ccc(C(C)C)cc2c(C)ccc1-2,304.65
CC(O)CCO,223.15
CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,386.15
CC=C1CC2C=CC1C2,193.15
Cc1ccccc1O,304.26
CCCCOC(=O)CCCC,180.35
C=CC(=O)OCCCCCC,228.15
CCCCCCOC=O,210.55
C=CC(C)(C)O,245.15
CCOC(=O)CC(=O)OCC,223.15
CCCCCOC(C)=O,173.14999999999998
CCCCCCC(=O)O,264.26
C=C(C)C1CC=C(C)C(=O)C1,298.35
SCc1ccccc1,243.15
CCCCCCCCCCCCCCO,310.76
C=COC(C)=O,179.82
CCCCCCCCCCCCCC(=O)OC(C)C,276.15
CCCCCCCCCCCS,270.37
CCCCCCCCC,222.04
Brc1ccc(-c2ccccc2)cc1,364.37
CCOC=O,194.26
CCCC(C)OC(C)=O,202.35
CCCOC(C)=O,178.14999999999998
CCCCCCCCC(C)=O,287.15
CP(=O)(F)OC1CCCCC1,243.15
Clc1ccc(C(Cl)(Cl)Cl)cc1Cl,298.92999999999995
CCCCCCC(=O)OCCCCC,223.65
O=C(O)CC1CCCCC1,306.15
CCCCC(=O)CC,234.26
Nc1ccc(Cl)c([N+](=O)[O-])c1,376.15
Cc1cc(C)cc(N)c1,282.92999999999995
Nc1ccc(N)c2ccccc12,393.15
CCCCCCCCCCCCCCCCCC#N,314.15
CCC(C)OC(C)=O,199.82
CCOCCOCCOC(C)=O,248.15
CC(=O)Cl,160.92999999999998
COc1ccc(C(C)=O)cc1,311.35
CCCCCCCCC(=O)OCC,228.65
Nc1ccc(Cl)cc1,345.65
C=CCCC,108.14999999999998
CCCCCOC(=O)CC,200.05
O=[N+]([O-])c1ccc(-c2ccccc2)cc1,387.04
CCCCCCCCOC=O,234.05
C=CC(=O)OCC1CO1,231.65
N#Cc1ccccn1,302.15
O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,344.26
COc1ccccc1[N+](=O)[O-],283.65
C=CCc1cc(OC)c2c(c1OC)OCO2,303.15
CCCCCCCCCCCCCCCCCC(=O)OC,310.92999999999995
ClC=C(Cl)Cl,200.37
CC(=O)CCl,228.65
C=Cc1ccc(C)cc1,235.35
OCCc1ccc(O)cc1,363.15
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,275.98
CC(C)CCBr,161.14999999999998
Cc1ccc(C)c(N)c1,288.65
CCCCCCCCCCCC(=O)O,317.04
Oc1ccc(Cl)cc1Cl,318.15
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,495.15
CCCC(=O)OC,178.14999999999998
O=S(=O)(Cl)c1ccccc1,287.65
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,348.15
C=C(C)C(=O)O,289.26
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,430.93
CCOCN(C(=O)CCl)c1c(C)cccc1CC,283.75
C=C(C)CC(C)(C)C,179.64999999999998
COc1ccccc1,235.85
CCCCCCOC(C)=O,193.15
NC(=O)c1ccccc1O,413.15
CCCCCCCCCCCCCCCCCC(=O)OCC(C)C,302.04999999999995
CCCCCCCCCCCCc1ccccc1,266.15
CC(C)OC(C)C,187.04
CCCCCNCCCCC,229.26
CCCCCCCCCCCCCC,279.04
CC(C)(C)c1ccccc1,215.35
CCOCCOCCOCC,228.87
CCCBr,163.14999999999998
C1COCO1,178.14999999999998
CCCCOCCOC(=O)c1ccccc1C(=O)OCCOCCCC,218.15
CC(O)COc1ccccc1,284.54999999999995
CCCOC(=O)CCC,177.95
C=CCC=C,124.86999999999998
c1ccc2scnc2c1,275.15
Cc1cccc(O)c1C,348.15
COCCl,169.64999999999998
CCCCCCOC(=O)CCCCC,218.15
CCCCCC(=O)OCCC,204.15
CC(=O)N(C)C,253.15
