SMILES,bp
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,588.15
ClCCCl,356.65
Clc1ccc(Cl)c(Cl)c1,485.93
O=CCCl,358.15
OCCCl,400.93
Oc1cc(Cl)ccc1Cl,484.26
OCCO,470.76
CC=O,294.26
CC(=O)C(C)O,421.15
O=C1OCC(F)O1,483.15
COC(=O)OCCOC(=O)OC,493.15
CC(C)=O,329.26
O=Cc1ccccc1,452.04
c1ccccc1,353.26
O=C(O)c1ccccc1,522.04
OCc1ccccc1,478.15
CCCC=O,348.15
CC(O)C(C)O,455.15
CCCCO,390.87
CCCC(=O)O,436.65
NCCCCCN,452.15
O=CO,373.87
Oc1ccccc1O,518.15
O=C(O)CCl,462.04
O=c1ccc2ccccc2o1,570.93
CC(C)c1ccc(C=O)cc1,508.65
Cc1ccccc1O,464.26
Cc1cccc(O)c1,475.93
CCCCCCCC,398.76
CCCCCCCC(=O)O,512.87
CC(C)[N+](=O)[O-],393.43
c1cncc(C2CCCN2)c1,533.15
CCCCCCCC=O,444.15
CCC=O,322.04
c1ccc2c(c1)oc1ccccc12,560.37
CC(=O)C(C)=O,360.93
CNC,280.54
NCCO,443.15
CCO,351.65
II,458.15
CS,279.09
CC(=O)C=O,345.37
c1ccc2ccccc2c1,490.93
CN(C)c1ccccc1,467.04
CCCCCCCCO,468.15
Oc1ccccc1,455.37
CC(O)CO,461.37
CCCO,370.37
CCC(=O)O,413.87
c1ccncc1,388.15
C1CCSC1,394.27
Cc1ccccc1,383.76
CN(C)C,276.04
c1ccc(-c2ccccn2)nc1,546.65
CC(N)Cc1ccc2c(c1)OCO2,430.15
N#CCCN,458.15
Cc1cc(O)ccc1Cl,508.15
CCCCCCCCCc1ccc(O)cc1,590.15
c1ccc(N=Nc2ccccc2)cc1,565.93
NC(=O)c1ccccc1,563.15
CC12CCC(CC1=O)C2(C)C,477.04
Cc1ccc(O)cc1,474.93
c1ccc2c(c1)sc1ccccc12,605.65
BrCBr,370.15
CCCCOC(=O)c1ccccc1C(=O)OCCCC,613.15
N#Cc1c(Cl)cccc1Cl,543.15
O=C(c1ccccc1)c1ccccc1,579.04
CCCC(CCC)C(=O)O,493.15
FC(F)OC(F)(F)C(F)Cl,329.82
CCOCC,307.76
C=CCc1ccc(O)c(OC)c1,527.04
FC(F)(F)C(Cl)Br,323.37
CC(C)O,355.65
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,503.15
COc1cc(CCN)cc(OC)c1OC,453.15
C=C(C)C(=O)O,435.93
COC(F)(F)C(Cl)Cl,377.76
COC(=O)c1ccccc1O,495.37
C=CCc1cc(OC)c2c(c1)OCO2,549.65
CCS(=O)CCSP(=O)(OC)OC,379.26
Oc1ccc(Cl)cc1,493.15
Clc1ccc(Cl)cc1,447.04
C1CNCCN1,419.26
O=C(O)CF,438.15
C=CCCCCCCCCC(=O)O,548.15
O=C(O)c1cc(Cl)ccc1Cl,574.26
CCN(CC)N=O,450.37
ClC(Cl)(Cl)Cl,349.87
C=CCN=C=S,424.26
CCCCCC=O,400.93
ClC(Cl)Cl,334.82
ClC(Cl)(Cl)C(Cl)(Cl)Cl,459.93
CCCCCO,410.93
CC(Cl)(Cl)Cl,347.26
CCl,248.93
CCBr,311.54
ClCBr,340.92999999999995
CCC,231.04
C#CC,249.82
CCCl,285.42999999999995
C=CCl,259.26
CCI,345.15
CCN,289.76
CCS,307.54
ClCCl,312.92999999999995
ClC(Cl)Br,360.37
CC(C)C,261.37
CC(C)Cl,308.89
CC(C)N,305.54
CC(C)S,325.71
CC(Cl)Cl,330.42999999999995
C=C(Cl)Cl,304.87
CC(=O)Cl,324.04
C=C(F)F,187.04
FC(Cl)Cl,282.04
FC(F)Cl,232.65
FC(F)F,191.15
IC(I)I,490.93
C[N+](=O)[O-],374.37
CC1CO1,307.38
FC(F)(Br)Br,297.59
ClC(Cl)(Cl)Br,378.15
CC(C)(C)N,317.54
CC(C)(C)O,355.37
CC(F)(F)Cl,264.04999999999995
FC(Cl)(Cl)Cl,296.87
FC(F)(Cl)Cl,243.37
FC(F)(F)Cl,192.04
C[Si](C)(C)C,299.75
C[Si](C)(C)Cl,330.37
C[Si](C)(Cl)Cl,343.15
C[Si](Cl)(Cl)Cl,339.82
ClC(Cl)(Br)CBr,468.15
CCC(C)(C)C,322.87
CC(C)(C)CO,387.15
CCC(C)(C)O,375.55
O=CC(Cl)(Cl)Cl,370.93
FC(F)(F)CCl,279.25
C=C[Si](Cl)(Cl)Cl,363.76
CC(=O)C(C)(C)C,379.25
