SMILES,fp
C1COCO1,274.82
COCOC,255.37
C1CCOC1,258.71
COCCOC,273.15
CCOCCOCC,308.15
C1OCOCO1,318.15
C1COCOC1,275.15
C1COCCO1,285.37
CCOCC,228.15
CCOC(C)OCC,252.59
CCCCCCC,269.26
C1CCCCC1,253.15
c1ccccc1,262.04
Cc1ccccc1,277.59
CC(C)c1ccccc1,308.71
CCOc1ccccc1,335.92999999999995
COc1ccccc1,324.82
Cc1cc(C)cc(C)c1,323.15
Oc1ccccc1,352.59
COCCOCCOCCOC,384.26
CCO,285.92999999999995
CCCCCO,305.92999999999995
O=C1OCCO1,416.15
O=C1CCCO1,371.48
COC(=O)OC,272.59
CCOC(C)=O,268.71
CC1COC(=O)O1,389.15
CCCC(=O)OC,287.04
CCOC(=O)OCC,298.15
CCCC(=O)OCC,297.04
CC(=O)OCCOC(C)=O,369.26
CCC(=O)OC,270.92999999999995
O=S1(=O)CCCC1,438.71
CS(C)=O,368.15
CC#N,278.71
N#Cc1ccccc1,344.82
C(CC#N)C#N,405.37
C(C#N)C#N,403.15
C1=CC=C(C=C1)[N+](=O)[O-],361.15
CN(C)C(=O)N(C)C,348.15
CC(=O)N(C)C,339.26
CN(C)C=O,340.37
CCOP(=O)(OCC)OCC,388.71
COP(=O)(OC)OC,422.04
COP(=O)(C)OC,316.48
Clc1cccc(Cl)c1,336.48
Ic1ccccc1,350.15
CCO[Si](OCC)(OCC)OCC,310.37
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,415.95
CC(C)N(C=O)C(C)C,348.0
CCCC=CC(=O)OCC,335.45
CCOc1ccc(C)cc1,343.15
C#CC(C)(C)O,298.15
C1=CC=CCC=C1,299.85
CCCC(C)CC,258.0
C=CCC(C)O,298.75
CC1CCCCC1O,331.0
CCCCC(C)CCCO,358.0
CC=CCCC,247.0
COc1ccc(C)cc1N,384.15
CC1CNCC(C)C1,305.15
C=C(C)C1CC=C(C)CC1,318.15
CC(C)c1cccc(C(C)C)c1,349.0
C=C(C)C(=O)OCC1CO1,349.261
COC(C)COC(C)COC(C)=O,364.65
CCCC(=O)OCc1ccccc1,380.0
COc1cc(C=O)ccc1O,390.75
CCC(C)OC(C)=O,290.15
CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,475.0
CCCOC(=O)CCC(=O)OCCC,384.55
Cc1ccc(O)cc1O,403.25
CC(C)CCOC(=O)C(=O)OCCC(C)C,387.45
CCOC(=O)C=CCC(=O)OCC,379.85
CC=C1CCCCC1,297.05
CCCC(N)CCC,314.45
CCC=CCC1=C(C)CCC1=O,380.15
CCN(CC)c1ccc(N)cc1,412.15
CC1CCCCC1C,284.0
CCCCCCOC(=O)CCCC,361.05
CCCC(CC)C(C)CC,314.0
CC(C)CC#N,301.45
COC(C)C,225.0
CCCCCCCc1ccccc1,368.0
CCC(C)C(C)C(C)C,288.0
C1CCC(OOC2CCCCC2)CC1,381.0
CC(C)(O)C#N,347.15
CCCCCc1ccccc1O,399.45
COC1CCCCC1,293.85
CC1(C)C2CCC3(CO3)C1C2,339.15
CC(=O)C(C)C,272.0
CCCCCCCC(=O)OCCC,361.05
Cc1ccccc1C#N,357.15
Cc1ccc(C(=O)O)c(N)c1,446.45
CC(C)C(C)C(C)(C)O,323.15
Cc1cc(C)cc([N+](=O)[O-])c1,384.55
CC1CCCC(C)C1,278.0
O=C1C=CCCC1,329.0
CCCNCCO,351.0
CCC(C)CC(C)CC,288.0
Cc1ccc(C)cc1,298.0
CC(=O)OCC=C(C)CCC=C(C)C,372.05
CC1CCC(C)C(C)C1C,313.65
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,402.45
C=COCCN(C)C,301.55
Cc1cc(C)c(C)c(C)c1,336.0
CCCCCCCCCCCCCCCCCCCCCCCCCCC,475.0
O=C(O)CCCc1c[nH]c2ccccc12,484.95
CC12CCC(CC1=O)C2(C)C,337.55
C1CCC2OC2C1,300.35
CC(O)CO,372.15
COCC(O)COC,331.35
c1ccc(-n2cccc2)cc1,368.45
