EP ID,CAS ID,Smiles,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-28,75-21-8,C1CO1,-1.7987729,-0.160050347,-0.15041713,6.377803244,-8.097290347,0.218507381,-14.12188988,-6.159295863,-6.024599532,1.0113,3.3908,0.00126498,0.90389963,3e-09,3e-09,2.14e-07,0.461508649,
ep-22,115-10-6,COC,-1.771643154,-0.313320619,-0.308421966,8.280967162,-7.96150556,1.95704245,-14.03998362,-6.323924712,-6.078478064,1.0091,1.0071,0.00149413,0.00170895,1.1176e-05,1.1175e-05,0.000802422,0.500022017,
ep-49,540-67-0,CCOC,-1.216003101,-0.226330777,-0.213400383,8.371036829,-7.753610617,4.825666129,-10.96128809,-3.5453707,-3.207677474,2.4138,8.4303,0.14970909,0.38378999,2e-09,2e-09,6e-09,0.476132294,
ep-92,75-56-9,CC1CO1,-1.104235079,-0.116504297,-0.095919976,6.434130801,-7.891844428,3.612310695,-10.63964958,-2.821820106,-2.747805152,3.0617,2.2192,0.22057756,0.62338838,7e-09,4e-09,2.37e-07,0.651622205,
ep-97,503-30-0,C1COC1,-1.992926096,-0.096583662,-0.085340192,7.37210707,-7.68721485,1.097979183,-13.61113228,-6.274127887,-5.923917426,1.0145,1.0107,0.00158631,0.00145232,1.1357e-05,1.1355e-05,0.000367313,0.500042012,
ep-399,646-06-0,C1COCO1,-0.995299762,-0.442736466,-0.427207178,7.517960066,-8.214571394,3.827552711,-11.9335507,-3.690407356,-3.718979305,1.9911,1.6128,0.57995853,1.3536314,1e-09,1e-09,8.2e-08,0.507731386,
ep-371,109-99-9,C1CCOC1,-2.014295193,-0.117547503,-0.106057812,8.039057993,-7.662724608,1.697990112,-13.49738871,-6.341067881,-5.8346641,1.0116,1.6578,0.00138655,0.63047338,4e-09,4e-09,1.75e-07,0.499433728,
ep-336,2167-39-7,CC1CCO1,-1.490691098,-0.075573949,-0.059876751,7.396325198,-7.569117461,3.299924053,-11.19149637,-4.096401145,-3.622378906,1.9267,1.698,0.56799252,0.73220843,2e-09,2e-09,2.03e-07,0.479784726,
ep-351,540-47-6,COC1CC1,-1.30896806,-0.043120611,-0.027941894,8.227904971,-7.992798647,4.532327453,-11.65381771,-3.695577518,-3.661019065,1.9504,1.6602,0.23352715,0.42802268,1.6e-08,1.5e-08,2.82e-07,0.504480442,
ep-283,109-87-5,COCOC,-1.170919287,-0.44179007,-0.424463329,7.87987142,-8.017288889,6.326373736,-9.919636465,-1.553497684,-1.902347576,6.6609,6.1022,0.31033117,1.34762624,3.68e-10,6.56e-10,1e-09,0.359502276,
ep-223,60-29-7,CCOCC,-0.845743296,-0.174566993,-0.156217996,8.409132761,-7.640955504,6.787334513,-9.073362547,-1.621798248,-1.432407043,27.9747,28.5929,0.19300142,0.52211533,4.66e-10,4.71e-10,4e-09,0.49721808,
ep-333,3266-23-7,CC1OC1C,-0.786310921,-0.091011593,-0.066523025,6.701346553,-7.740004927,5.148120982,-9.186834002,-1.55322557,-1.446829075,32.066,10.8937,0.33388767,0.87611458,4.88e-10,7.03e-10,2e-09,0.410060014,
ep-314,558-30-5,CC1(C)CO1,-1.408357626,-0.079954563,-0.065108452,6.567738677,-7.762046145,2.4490242,-11.30796107,-4.118714477,-3.545914928,1.9287,1.6789,0.32629479,0.79134797,1.2e-08,1.2e-08,1.58e-07,0.504668748,
ep-549,625-54-7,CCOC(C)C,-1.632516811,-0.135933011,-0.124736587,8.371853171,-7.700004199,3.833539214,-11.80484087,-4.538313956,-4.104836673,1.527,1.2834,0.23503708,0.40855799,1.2e-08,1.2e-08,2.14e-07,0.495394152,
ep-508,6795-87-5,CCC(C)OC,-0.662765814,-0.127375486,-0.117655279,8.202870501,-7.739188586,5.90269255,-10.10304117,-2.300177951,-2.363852581,1.4419,1.4367,0.22852387,0.35210356,1.5e-08,1.5e-08,2.83e-07,0.502114572,
ep-1619,5614-38-0,CCOC1CC1,-0.435458272,-0.027187475,-0.012463227,8.214299281,-7.950076781,6.257801059,-10.11501417,-1.956498222,-2.164937393,1.6521,1.3789,0.28526241,0.34226989,1.1e-08,1.1e-08,2.04e-07,0.497271465,
ep-736,628-28-4,CCCCOC,-1.563783586,-0.120445806,-0.109563219,8.350084067,-7.765583624,4.055039848,-11.84593006,-4.295044219,-4.080346431,1.6069,1.5073,0.28328256,0.3586422,1.2e-08,1.2e-08,2.81e-07,0.501594627,
ep-1302,30095-63-7,CCC1(C)CO1,-0.843201753,-0.051927381,-0.032570226,6.540527297,-7.72231753,4.714915813,-9.305747732,-1.825611484,-1.583430202,13.7271,14.8295,0.37369217,1.24853142,3.19e-10,3.79e-10,2e-09,0.45762906,
ep-1218,922-69-0,C=C(OC)OC,-0.683650548,-0.304630434,-0.285411814,6.342156337,-8.780295985,1.883571724,-9.325339926,-4.458584613,-0.545043941,11.6091,8.418,0.37613625,1.24591392,5e-10,8.14e-10,2e-09,0.380434813,
ep-1533,14988-66-0,CC1CC(C)O1,-0.977631413,-0.064126243,-0.04393761,7.506803401,-7.482857386,5.62486436,-9.103839293,-1.881939041,-1.620981907,11.8808,13.5764,0.35773352,1.45390764,3.66e-10,4.94e-10,1e-09,0.425811305,
ep-1361,13423-15-9,CC1CCOC1,-0.966452978,-0.089796948,-0.071426546,7.954702715,-7.602315344,5.938611571,-9.427654715,-2.016091144,-1.82533937,8.3931,5.113,0.43527962,1.87951361,2.82e-10,2.54e-10,6.54e-10,0.526299464,
ep-896,534-15-6,COC(C)OC,-1.852613337,-0.350332757,-0.339965561,7.956335398,-8.000417834,4.613689479,-11.59123154,-3.342645919,-3.590813705,1.8349,1.419,0.64961317,0.70930216,3e-09,3e-09,1.38e-07,0.501324107,
ep-1007,110-71-4,COCCOC,-3.287749681,-0.323814757,-0.312241417,8.42981341,-7.766127852,6.519846648,-9.523166659,-1.909966762,-1.757038807,9.6338,9.1726,0.6875226,2.04915519,2.87e-10,4.33e-10,7.52e-10,0.398391803,
ep-464,625-44-5,COCC(C)C,-1.585092818,-0.124470671,-0.114713426,8.420289427,-7.823543864,3.903200347,-12.08239695,-4.51708908,-4.258853084,1.4768,1.2633,0.28780506,0.33635452,7e-09,7e-09,2.16e-07,0.492886298,
ep-1739,142-68-7,C1CCOCC1,-0.952667693,-0.081367543,-0.06278013,8.180012942,-7.592791361,6.128819117,-9.416498049,-2.051193824,-1.823706688,8.3513,4.3021,0.79143455,2.70557559,1.3e-10,1.86e-10,4.92e-10,0.41103103,
ep-1300,5076-19-7,CC1OC1(C)C,-1.614043005,-0.057092781,-0.043799852,6.826246787,-7.643676642,2.183169017,-11.55041447,-4.643077769,-3.906737827,1.615,11.2456,0.47609655,1.42693742,2.46e-10,4.8e-10,1e-09,0.33913051,
ep-1529,96-47-9,CC1CCCO1,-1.689862073,-0.091443407,-0.078495722,8.052119456,-7.590614451,2.972026924,-12.00021858,-5.080092532,-4.409604129,1.4146,1.2587,0.60142357,0.95909711,1e-08,1e-08,9.1e-08,0.498631844,
ep-3877,628-80-8,CCCCCOC,-0.778727109,-0.092300478,-0.081891737,8.344641791,-7.822999636,5.825140117,-10.356107,-2.519501674,-2.533107364,1.3723,1.2567,0.29970994,0.38790434,1.7e-08,1.6e-08,2.61e-07,0.500414957,
ep-6019,3657-41-8,CCCC1(C)CO1,-1.697116627,-0.023131809,-0.011482331,6.59875965,-7.755515414,1.489006714,-12.13192166,-5.109752936,-4.376406245,1.392,11.9424,0.43494812,1.30336842,1.4e-10,1.43e-10,2e-09,0.495258259,
ep-5280,462-95-3,CCOCOCC,-0.999370584,-0.291791575,-0.270979023,8.037969538,-7.920960604,6.84366207,-9.180303271,-1.194307468,-1.259342666,73.4917,23.6095,1.38909914,3.25903005,2.85e-10,3.36e-10,5.72e-10,0.459230363,
ep-5701,628-90-0,COCOCOC,-2.329778491,-0.500847244,-0.492511758,7.868442641,-8.183550421,3.916533923,-12.02688573,-3.951908717,-3.843335311,1.6683,1.4833,1.93214721,1.15318252,8e-09,8e-09,7.5e-08,0.505045032,
ep-9718,19693-75-5,COC1OCCO1,-1.756853769,-0.532660062,-0.519468166,7.380542597,-8.231986678,3.723877353,-11.14850239,-3.656665244,-2.916515708,1.7959,1.587,1.813081,3.50276388,2e-09,2e-09,1.8e-08,0.460815433,
