EP ID,SMILES,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-1071,CCOCOC,-1.363132312,-0.347630667,-0.331430712,7.832523619,-7.980009299,5.802554671,-10.35719546,-2.029968948,-2.377186157,4.1721,11.6403,0.25831292,0.47317126,1.02E-10,1.02E-10,4.64E-09,0.499474116,1.137469718
ep-11702,CCOC(C)(C)OC,-1.746567868,-0.243553606,-0.23468653,8.041779131,-7.919872149,2.393240871,-11.23367401,-5.64853826,-3.313801856,1.2549,3.0419,0.31752419,0.53036226,3.22E-10,3.18E-10,2.72E-09,0.503329828,0.075633189
ep-11769,CCC(C)(OC)OC,-2.275921727,-0.228051283,-0.220746759,7.73592322,-7.8755176,2.394873554,-12.56294992,-5.341049666,-4.687432319,1.1845,1.5716,0.35874497,0.65610974,2.37E-10,2.39E-10,2.20E-09,0.497951915,0.26126126
ep-1237,COCOCF,-0.662548123,-0.717140008,-0.692033742,4.837094909,-8.386003088,4.831108405,-9.180847498,-0.005986504,-0.79484441,22.8588,24.7087,0.41585034,1.32041729,3.52E-10,2.86E-10,2.20E-09,0.551608051,0.03859525
ep-12468,COC(C)C(C)OC,-0.825078974,-0.227945282,-0.213965188,8.2836883,-7.775379721,6.382973407,-8.13837953,-1.900714893,-0.362999809,14.1924,15.8887,0.34997021,0.86631811,1.31E-10,1.34E-10,1.79E-09,0.494614876,0.184550578
ep-12525,CCC(COC)OC,-0.989057471,-0.220895556,-0.207859078,8.296205534,-7.695378264,5.80391524,-8.5715847,-2.492290294,-0.876206436,5.2032,7.5388,0.41919471,0.51778155,1.92E-10,1.83E-10,2.52E-09,0.512164984,0.207654151
ep-12598,COC(C)C(F)OC,-1.422357881,-0.45509027,-0.438036325,5.050976356,-7.990621737,1.043012195,-10.05161166,-4.00796416,-2.060989921,4.1287,5.4881,0.49518436,0.89549665,1.96E-10,1.94E-10,1.55E-09,0.502036909,0.785673194
ep-12628,CCOCC(C)OC,-0.867705601,-0.23084317,-0.215026679,8.228993426,-7.819190043,6.275216342,-8.229809767,-1.953777084,-0.410619724,9.8583,14.6476,0.46989095,0.92892155,1.92E-10,1.73E-10,1.52E-09,0.525873406,0.043424642
ep-12941,CCOC(CC)OC,-1.3540165,-0.240519537,-0.226151928,8.199333022,-7.925858653,6.245555938,-9.889976061,-1.953777084,-1.964117408,5.4938,5.9304,0.23383486,0.51091122,1.03E-10,1.01E-10,3.51E-09,0.503674658,0.902899971
ep-13009,CCOC(C)OCC,-1.075393738,-0.249673693,-0.231087702,8.245320254,-7.872524348,6.738081916,-9.272821963,-1.507238338,-1.400297615,23.7068,25.4724,0.36694215,0.81040872,3.07E-10,3.18E-10,1.94E-09,0.490932363,inf
