EP ID,SMILES,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-1071,CCOCOC,-1.3631323119999998,-0.347630667,-0.331430712,7.832523619,-7.980009299,5.802554671,-10.35719546,-2.029968948,-2.3771861569999997,4.1721,11.6403,0.25831292,0.47317126,1.0200000000000001e-10,1.0200000000000001e-10,4.64e-09,0.499474116,1.137469718
ep-11702,CCOC(C)(C)OC,-1.746567868,-0.243553606,-0.23468653,8.041779131,-7.919872149,2.393240871,-11.23367401,-5.64853826,-3.3138018560000004,1.2549,3.0419,0.31752419,0.53036226,3.2199999999999997e-10,3.1800000000000004e-10,2.72e-09,0.5033298279999999,0.075633189
ep-11769,CCC(C)(OC)OC,-2.275921727,-0.22805128300000002,-0.220746759,7.73592322,-7.875517599999999,2.394873554,-12.56294992,-5.341049666,-4.687432319,1.1845,1.5716,0.35874497,0.65610974,2.37e-10,2.39e-10,2.2e-09,0.497951915,0.26126126
ep-12468,COC(C)C(C)OC,-0.8250789740000001,-0.227945282,-0.213965188,8.2836883,-7.775379721,6.382973407000001,-8.13837953,-1.9007148930000002,-0.362999809,14.1924,15.8887,0.34997021,0.86631811,1.31e-10,1.34e-10,1.79e-09,0.49461487600000004,0.18455057800000002
ep-12525,CCC(COC)OC,-0.989057471,-0.22089555600000002,-0.207859078,8.296205534,-7.6953782639999995,5.80391524,-8.571584699999999,-2.492290294,-0.8762064359999999,5.2032,7.5388,0.41919471,0.51778155,1.9199999999999998e-10,1.8300000000000001e-10,2.52e-09,0.512164984,0.207654151
ep-12628,CCOCC(C)OC,-0.8677056009999999,-0.23084317,-0.215026679,8.228993426,-7.819190043,6.275216342,-8.229809767,-1.9537770840000002,-0.41061972399999996,9.8583,14.6476,0.46989095,0.92892155,1.9199999999999998e-10,1.73e-10,1.52e-09,0.525873406,0.043424642
ep-12941,CCOC(CC)OC,-1.3540165000000002,-0.240519537,-0.226151928,8.199333022000001,-7.925858653,6.245555938,-9.889976061,-1.9537770840000002,-1.9641174080000001,5.4938,5.9304,0.23383486,0.51091122,1.03e-10,1.01e-10,3.5100000000000005e-09,0.503674658,0.902899971
ep-13009,CCOC(C)OCC,-1.075393738,-0.249673693,-0.231087702,8.245320254,-7.872524348,6.7380819160000005,-9.272821963,-1.507238338,-1.400297615,23.7068,25.4724,0.36694215,0.81040872,3.07e-10,3.1800000000000004e-10,1.94e-09,0.490932363,inf
ep-13347,COC(OC)C(C)C,-1.246969652,-0.235068727,-0.222046102,8.056201162999999,-7.937559546,6.193037974,-9.775416151,-1.863163189,-1.837856605,6.1728,13.1632,0.30082854,0.49817467,1.13e-10,1.2e-10,2.7899999999999997e-09,0.48517177,0.735381933
ep-133693,COC(OC)(OC)OC,-2.082916851,-0.561248021,-0.555064559,7.767488421,-8.279062365,3.364142909,-11.33381188,-4.403345512,-3.0547495189999996,1.4643,4.6098,0.55708347,0.79201192,2.0400000000000002e-10,1.9800000000000001e-10,1.87e-09,0.50703989,inf
ep-13388,CCCC(OC)OC,-1.314181761,-0.23365126100000003,-0.219875005,8.02164271,-7.951981577000001,6.282019187,-9.894601996,-1.7396235230000001,-1.9426204180000002,5.7144,10.3996,0.26134966,0.60289088,1.6099999999999999e-10,1.6299999999999998e-10,2.54e-09,0.49739806799999997,0.7931862740000001
ep-13433,COCC(OC)OC,-1.682632009,-0.404095474,-0.38710019799999995,8.173754323999999,-7.7849037039999995,6.099430827000001,-9.70874827,-2.074323497,-1.9238445659999999,5.4053,13.227,0.52834423,0.98340702,1.4e-10,1.3899999999999999e-10,1.35e-09,0.501429691,0.18774517300000002
ep-15463,CCCOCCOC,-0.8472562490000001,-0.222369423,-0.205538442,8.305729517,-7.8102102879999995,6.303788291,-8.33239667,-2.001941227,-0.522186382,10.0218,15.1308,0.70832377,1.94518172,1.55e-10,1.52e-10,1.22e-09,0.505130254,0.055402417999999995
ep-15673,CCOC(OC)OC,-1.296782804,-0.43228564700000005,-0.415612827,7.803407442999999,-8.086677907999999,5.915754012000001,-9.469016012,-1.887653431,-1.382338104,4.9528,7.7802,0.38156487,0.79822118,2.25e-10,2.26e-10,1.99e-09,0.49811558899999997,0.8524892359999999
ep-15875,CCCCOCOC,-1.74621412,-0.224992353,-0.21247313899999998,7.893749224,-7.9677641779999995,4.821312308,-11.36102326,-3.072436916,-3.393259086,2.1292,4.0856,0.24389918,0.56633402,2.26e-10,2.26e-10,2.99e-09,0.500402555,1.2029858070000001
ep-15881,CCCOCOCC,-1.762511015,-0.23287919999999998,-0.21954574699999999,7.977288161000001,-7.990621737000001,4.953287501,-11.1033315,-3.024000659,-3.1127097580000003,2.22,3.826,0.30485195,0.64721913,1.71e-10,1.7e-10,2.9600000000000005e-09,0.5019200220000001,0.886967209
ep-15923,COCCOCOC,-1.9008781609999998,-0.40146195700000004,-0.381433565,8.156883269,-7.80966606,5.953033603,-9.864669478,-2.203849666,-2.055003418,5.7633,15.2277,0.45549823,1.2027097,1.56e-10,1.66e-10,1.45e-09,0.484256585,1.0714428459999998
ep-15996,CCOCOCOC,-1.235399373,-0.42111973,-0.40417329799999996,8.102460509,-8.104093192,5.998476607000001,-9.017034991000001,-2.103983902,-0.912941799,5.3805,9.4662,0.29500321,1.06105354,1.26e-10,1.21e-10,1.6699999999999998e-09,0.509436534,1.852731621
ep-17122,COCCCCOC,-1.08747559,-0.219186557,-0.20492729899999998,8.380560812,-7.7552433,5.857249545,-8.510086981,-2.523311267,-0.754843681,4.0392,4.784,0.32620427,0.71637785,1.31e-10,1.28e-10,2.44e-09,0.504693236,0.12829062900000002
ep-198083,COC1COC(OC)C1,-1.527978852,-0.34588645,-0.331765298,7.876333941,-7.92068849,4.557089809,-9.552554949,-3.3192441319999997,-1.631866459,2.9716,6.3911,0.72981157,1.01474146,2.0899999999999998e-10,2.06e-10,1.35e-09,0.503899506,1.277938785
ep-252476,COC1OC(C)OC1C,-1.260420237,-0.372426616,-0.356962777,7.362310973,-8.128855547,5.071112777,-9.613780554,-2.291198196,-1.484925007,4.0869,4.1736,0.9251325999999999,1.6490387,1.0500000000000001e-10,9.98e-11,8.48e-10,0.513704236,0.207459106
ep-254066,COC1OCOC1OC,-1.6563539790000001,-0.560061995,-0.543618588,7.552790633,-8.211850256,5.732893538,-9.694326239,-1.819897094,-1.482475982,4.3666,6.6308,1.35259242,2.76681885,1.6000000000000002e-10,1.68e-10,4.900000000000001e-10,0.48727807100000003,inf
