ep-57213 Cc1cc2ccc1o2
ep-57377 c1cc2cc(c1)OC2
ep-172804 COc1ccccc1C
ep-172854 COc1cccc(C)c1
ep-304961 C1=Cc2cccc(c2)O1
ep-304967 C1#Cc2cccc(c2)O1
ep-392015 COc1cc2ccc1o2
ep-306663 c1oc2ccccc2c#1
ep-306676 c1ccc2c(c1)COC2
ep-376788 c1ccc2c(c1)OCO2
ep-306683 c1ccc2occc2c1
ep-306697 Cc1cc2ccc1CO2
ep-306733 Cc1cc2ccc1OC2
ep-327604 Cc1c(C)c2ccc1o2
ep-327610 Cc1c2cccc1OC2
ep-327660 C#Cc1cc2ccc1o2
ep-367790 CCc1cc2ccc1o2
ep-367458 c1ccc2c(c1)CCO2
ep-333320 CC1Oc2cccc1c2
ep-355696 C=c1oc2cccc1c2
ep-356026 C=Cc1cc2ccc1o2
ep-357654 Cc1cc2cc(c1)OC2
ep-357740 Cc1ccc2cc1OC2
ep-357835 Cc1ccc2cc1CO2
ep-357842 c1cc2cc(c1)OCC2
ep-400792 C1#COC23OC(O1)C2O3
ep-400793 C1#CC23COC(O1)(O2)O3
ep-400798 C1#CC23COC(C2)(O1)O3
ep-400803 C1#COC23OC(=C1)C2O3
ep-400806 C1#CC23C=CC(O1)(O2)O3
ep-400815 C1#COC23CC(=C1)C2O3
ep-400819 C1#CC23OCC(O1)(O2)O3
ep-400896 C1#CC23CC2C(=CO1)O3
ep-402436 C1=c2oc3cc1cc2c3
ep-402442 c1cc2cc3oc2cc13
ep-402476 c1cc2oc3cc2cc1-3
ep-402653 C1=CC2C3=CC=C1C2O3
ep-577277 CC1=C2CC3(C=C1)OC23
ep-403428 C1=CC23CC(=C1)C2CO3
ep-403429 C1#CC23CC(=C1)C2CO3
ep-403484 c1c2cc3cc1OC3C2
ep-403489 c1cc2c3cc1C(C2)O3
ep-403567 C1=C2CC3OC1CC=C23
ep-403577 CC12OC13CC=CC2C3
ep-403593 C1=CC2C3COC2C3=C1
ep-577307 CC12OC13CC=CC2O3
ep-403765 C1=C2OC3OC1CC=C23
ep-403906 C1=CC2C3CCC1C2O3
ep-403908 C1#CC2OC3C1C=CC23
ep-403918 CC1C=C2CC3(C1)OC23
ep-403919 CC1=CC23CC(=C1)C2O3
ep-577336 C1=CC23CC(=CC1)C2O3
ep-577337 C1#CC23CC(=CC1)C2O3
ep-404013 C1=C2CC=C3C(C1)OC23
ep-404044 C1=CC2C3CC2C1CO3
ep-404259 C1#CCC23CC(=C1)C2O3
ep-404277 C1#CC2C3CC=C1C2O3
ep-418835 c1cc2c3cc1C(O2)O3
ep-404564 CC1C=C2CC3(O1)OC23
ep-404617 C1=CC2C3OC=C1C2O3
ep-404761 C1#CC23OCC2C(=C1)O3
ep-404966 C1=C2CC3CC1COC23
ep-405148 C1#CC2C3C=CC2C3O1
ep-405306 C1=CC2C3=COC2C3C1
ep-405407 C1=CC23COC2C(=C1)C3
ep-405432 C1=CC2C3=COC2C3=C1
ep-405484 C1#CC2C3COC2C3=C1
ep-405640 C1=CC23COC2C(=C1)O3
ep-405656 C1=C2C3COC(C1)C2O3
ep-405856 C1=C2C=C3OC1C3OC2
ep-406074 C1=C2C=C3CC1C3OC2
ep-406205 c1cc2c3cc1C(C3)O2
ep-406240 C1=C2C=C3OC(C2)C3C1
ep-440062 C1=Cc2oc3cc2C1=C3
ep-406764 CC1C=C2CC3C2OC13
ep-407341 C1=C2OC=C3CC2C3O1
ep-407849 CC1=C2OC3(C=C1)CC23
ep-407882 C1OC2=C3CC1C3CO2
ep-578047 C1#CC23CC(CO1)C2C3
ep-408152 C1#CC23CC(=CO1)C2C3
ep-408153 C1#CC23COC2C(C3)O1
ep-408161 C1#CC2CC3(CO1)CC23
ep-408204 C1#CC23CCC2C(C3)O1
ep-408234 C1#CC23CCC(C2)(C3)O1
ep-408247 C1#CC23C=CC(C2)(C3)O1
ep-408252 C1#CC23C#CC(C2)(C3)O1
ep-408283 C1#CC2C3CCC2C3O1
ep-408287 C1#CC2C3C#CC2C3O1
ep-408305 C1#CC2C3=CCC2C3O1
ep-408317 C1#CC2CC3(CCC23)O1
ep-408319 C1#CC2CC3C(CC23)O1
ep-408334 C1#CC2C3=CC=C2C3O1
ep-408377 C1#COC2CC3(C1)CC23
ep-408381 C1#COC23CC(C1)C2C3
ep-578180 C1=CC23CC2C(=CC1)O3
ep-408658 CC1=CC23CC2C(=C1)O3
ep-408851 C1#CC23CC1(CCO2)C3
ep-408869 C1#CC23CC1(C=CO2)C3
ep-408875 C1#CC2CC3(CO1)OC23
ep-408876 C1#CC23COC(C2)(C3)O1
ep-408967 CC12CC3CC(C3)(C1)O2
ep-408982 CC12CC3(CC(C3)O1)C2
ep-410360 CC1OC=C2CC13CC23
ep-410460 C1#CC2C3=COC2C3=C1
ep-410461 C1#CC2Cc3c2coc31
ep-410542 c1cc2c3cocc2c13
ep-410826 C1#CC2C3=CC1=CC2O3
ep-410984 C1=C2CC3=CC1OC=C23
ep-411005 C1=C2CC3CC1OC=C23
ep-578870 CC12CC3(C=CO1)CC32
ep-411238 C1=CC23CC2C(=CO1)O3
ep-411424 CC1C2OC=CC13CC23
ep-412048 CC1C2C=CCC13OC23
ep-579146 CC1C2C=COC13OC23
ep-579154 CC12OC13CC2C=CO3
ep-412281 C1#CC23COC2C(=C1)C3
ep-412653 CC12C=C3OC(C1)(C2)O3
ep-579322 CC12CC13CC2C=CO3
ep-579323 CC12CC13C=COC2C3
ep-412732 C1=CC23CC(=CO1)C2C3
ep-579341 CC12C=COC3(CC13)C2
ep-579342 CC1C2C3C=COC12C3
ep-412876 CC1C2C=COC13CC23
ep-412957 C1#CC2C3C=COC2C13
ep-413251 CC1C2C3CC12C=CO3
ep-413315 C1CC23COC(C1)(C2)C3
ep-413343 CC12C=C3CC(C1)(C2)O3
ep-413561 C1CC2CC3(C1)OCC23
ep-579483 C1#COC23CC(=C1)C2C3
ep-579628 C1CC2C3COCC2C13
ep-414415 C1#CC2C3COCC2C13
ep-414580 C1CC2C3COC2C3C1
ep-414589 CC1C2C=CC3OC2C31
ep-579656 CC1C2CC=CC13OC23
ep-415291 C1#CC2CC3C(C1)OC23
ep-415316 C1#CCC23OC(C1)C2O3
ep-415318 C1#CC2OC3C(C1)OC23
ep-415434 CC1C=C2OC3C2OC13
ep-416233 C1#CC23CCCC1(C2)O3
ep-416253 CC12CC3(CC13)OCO2
ep-416255 CC12CC3(CC(O1)O3)C2
ep-416258 C1#CC23CC1(C2)OCO3
ep-416464 C1#CC2C3=CC1C=C2O3
ep-417011 C1CC2CC3=C1OCC32
ep-417078 C1=C2C=C3CC(O2)C3C1
ep-417080 C1=C2C=C3CC1C3CO2
ep-580459 CC1=CC=C2CC13OC23
ep-417090 C1=C2COC3C(=C1)CC23
ep-417122 C1#CC2CC3=C1OCC32
ep-417400 C1=C2C=C3OC(=C2)C3C1
ep-417406 CC1C=C2OC3C2CC13
ep-417539 C1=C2C=C3OC1C3CC2
ep-417544 C1=C2OC3C(=C1)CCC23
ep-417644 C1#CC2C3C=CC1C2O3
ep-580530 CC12CC=CC3(C1)OC23
ep-417709 CC12CC3C=CC1OC32
ep-418250 C1#CC23OC=CC1(O2)O3
ep-580608 CC12C=COC3(OC13)O2
ep-418328 CC12C=C3OC(O3)(O1)O2
ep-418464 CC12C=C3OC(C1)(O3)O2
ep-418945 CC12C=COC3(CC13)O2
ep-419258 C1#CC23CC(CO2)(C3)O1
ep-419261 C1#COC23CC2C(C1)O3
ep-419266 C1#COC2CC3(C1)OC23
ep-580839 C1#COC23CC2C(=C1)O3
ep-580840 C1#COC23CC(O1)C2O3
ep-419286 C1#COC2OC3(C1)CC23
ep-419287 C1#CC23CCC2C(O1)O3
ep-419293 C1#CC2CC3C(O1)OC23
ep-580844 C1#CC23CC(CO1)C2O3
ep-419496 C1#CC23C=CC(C1)(O2)O3
ep-580860 CC12CC=CC3(OC13)O2
ep-419506 C1#CC23CC=CC1(O2)O3
ep-419721 CC1CC=C2OC13OC23
ep-420698 C1#CC2CC=C3C1OC32
ep-581111 CC12C=CCC3(CC13)O2
ep-581112 C1=C2C3CC2C(C1)CO3
ep-581113 CC1C=C2CC3(CC23)O1
ep-421059 CC1CC=C2CC13OC23
ep-581159 CC1C2C3C=CCC12O3
ep-421284 C1=C2OC3CC1CC=C23
ep-448062 Cc1c2c3cc(c1o3)C2
ep-581337 C1=C2C3CCC(C1)C2O3
ep-422586 C1#COC23CC(C1)C2O3
ep-422596 C1#CC2OC3C(CC23)O1
ep-422611 C1#CC2OC3(CCC23)O1
ep-422623 C1#CC2OC3(O1)OCC23
ep-422628 C1#CC23CC2C(CO1)O3
ep-581530 C1#CC2OC3(CO1)CC23
ep-422828 CC12CC13C=CCC2O3
ep-423012 CC12CC13CC=CC2O3
ep-423417 CC12CC13C=CC=C2O3
ep-423475 CC12C=CCC3(C1)OC23
ep-423477 CC12C=CC3OC1C3C2
ep-581739 CC12C=COC3(C1)OC23
ep-581903 CC12OC13C=CCC2O3
ep-581944 CC12OC=CC3(CC31)O2
ep-424614 C1#CC2CC3(O1)OCC23
ep-582381 C1#CCC23CC2C(C1)O3
ep-425915 C1#CC2C3CCOC2C13
ep-426253 CC1CC=C2OC13CC23
ep-426367 C1#CCC23CC(C1)C2O3
ep-582484 CC12OC13C=COC2O3
ep-426507 C1#CC23OCC2C(O1)O3
ep-582486 CC12OC13CC2OCO3
