ep-2064 CC(C)C(C)(C)C
ep-2066 CC(F)C(C)(C)C
ep-2067 C=C(C)C(C)(C)C
ep-2068 CC(=O)C(C)(C)C
ep-2069 CCC(C)(C)CC
ep-2071 CCC(C)(C)CF
ep-2072 C=CC(C)(C)CC
ep-2073 CCC(C)(C)C=O
ep-2074 C#CC(C)(C)CC
ep-2075 CCCC(C)(C)C
ep-2077 CC(C)(C)CCF
ep-2078 C=CCC(C)(C)C
ep-2079 CC(C)(C)CC=O
ep-2080 C#CCC(C)(C)C
ep-2090 COCC(C)(C)C
ep-2091 CC(C)(C)C(F)F
ep-2092 C=C(F)C(C)(C)C
ep-2093 CC(C)(C)C(=O)F
ep-2094 CC(C)(CF)CF
ep-2095 C=CC(C)(C)CF
ep-2096 CC(C)(C=O)CF
ep-2097 C#CC(C)(C)CF
ep-2098 C=CC(C)(C)C=C
ep-2099 C=CC(C)(C)C=O
ep-2100 C#CC(C)(C)C=C
ep-2101 CC=CC(C)(C)C
ep-2103 CC(C)(C)C=CF
ep-2104 CC(C)(C=O)C=O
ep-2105 C#CC(C)(C)C=O
ep-2106 C#CC(C)(C)C#C
ep-2107 CC#CC(C)(C)C
ep-2109 CC(C)(C)C#CF
ep-2121 CCC(C)(C)OC
ep-2146 COC(C)(C)CF
ep-2150 C=CC(C)(C)OC
ep-2156 COC(C)(C)C=O
ep-2158 C#CC(C)(C)OC
ep-2162 CCOC(C)(C)C
ep-2164 CC(C)(C)OCF
ep-2165 C=COC(C)(C)C
ep-2166 CC(C)(C)OC=O
ep-2167 C#COC(C)(C)C
ep-2168 CC(C)C(C)(C)F
ep-2170 CC(F)C(C)(C)F
ep-2171 C=C(C)C(C)(C)F
ep-2172 CC(=O)C(C)(C)F
ep-2173 CCC(C)(F)CC
ep-2175 CCC(C)(F)CF
ep-2176 C=CC(C)(F)CC
ep-2177 CCC(C)(F)C=O
ep-2178 C#CC(C)(F)CC
ep-2179 CCCC(C)(C)F
ep-2181 CC(C)(F)CCF
ep-2182 C=CCC(C)(C)F
ep-2183 CC(C)(F)CC=O
ep-2184 C#CCC(C)(C)F
ep-2194 COCC(C)(C)F
ep-2195 CC(C)(F)C(F)F
ep-2196 C=C(F)C(C)(C)F
ep-2197 CC(C)(F)C(=O)F
ep-2198 CC(F)(CF)CF
ep-2199 C=CC(C)(F)CF
ep-2200 CC(F)(C=O)CF
ep-2201 C#CC(C)(F)CF
ep-2202 C=CC(C)(F)C=C
ep-2203 C=CC(C)(F)C=O
ep-2204 C#CC(C)(F)C=C
ep-2205 CC=CC(C)(C)F
ep-2207 CC(C)(F)C=CF
ep-2208 CC(F)(C=O)C=O
ep-2209 C#CC(C)(F)C=O
ep-2210 C#CC(C)(F)C#C
ep-2211 CC#CC(C)(C)F
ep-2213 CC(C)(F)C#CF
ep-2214 CCC(C)C(C)C
ep-2216 CC(C)C(C)CF
ep-2217 C=CC(C)C(C)C
ep-2218 CC(C)C(C)C=O
ep-2219 C#CC(C)C(C)C
ep-2234 COC(C)C(C)C
ep-2235 CC(C)C(C)(F)F
ep-2236 CCC(C)C(C)F
ep-2238 CC(F)C(C)CF
ep-2239 C=CC(C)C(C)F
ep-2240 CC(F)C(C)C=O
ep-2241 C#CC(C)C(C)F
ep-2242 CCC(F)C(C)C
ep-2244 CC(C)C(F)CF
ep-2245 C=CC(F)C(C)C
ep-2246 CC(C)C(F)C=O
ep-2247 C#CC(F)C(C)C
ep-2248 C=C(C)C(C)CC
ep-2250 C=C(C)C(C)CF
ep-2251 C=CC(C)C(=C)C
ep-2252 C=C(C)C(C)C=O
ep-2253 C#CC(C)C(=C)C
ep-2254 C=C(CC)C(C)C
ep-2256 C=C(CF)C(C)C
ep-2257 C=CC(=C)C(C)C
ep-2258 C=C(C=O)C(C)C
ep-2259 C#CC(=C)C(C)C
ep-2260 CC=C(C)C(C)C
ep-2262 CC(=CF)C(C)C
ep-2263 CCC(C)C(C)=O
ep-2265 CC(=O)C(C)CF
ep-2266 C=CC(C)C(C)=O
ep-2267 CC(=O)C(C)C=O
ep-2268 C#CC(C)C(C)=O
ep-2269 CCC(=O)C(C)C
ep-2271 CC(C)C(=O)CF
ep-2272 C=CC(=O)C(C)C
ep-2273 CC(C)C(=O)C=O
ep-2274 C#CC(=O)C(C)C
ep-2275 CCC(CC)CC
ep-2277 CCC(CC)CF
ep-2278 C=CC(CC)CC
ep-2279 CCC(C=O)CC
ep-2280 C#CC(CC)CC
ep-2281 CCCC(C)CC
ep-2283 CCC(C)CCF
ep-2284 C=CCC(C)CC
ep-2285 CCC(C)CC=O
ep-2286 C#CCC(C)CC
ep-2302 CCC(C)COC
ep-2303 CCC(C)C(F)F
ep-2304 C=C(F)C(C)CC
ep-2305 CCC(C)C(=O)F
ep-2306 CCC(CF)CF
ep-2307 C=CC(CC)CF
ep-2308 CCC(C=O)CF
ep-2309 C#CC(CC)CF
ep-2310 CCCC(C)CF
ep-2312 CC(CF)CCF
ep-2313 C=CCC(C)CF
ep-2314 CC(CF)CC=O
ep-2315 C#CCC(C)CF
ep-2316 C=CC(C=C)CC
ep-2317 C=CC(C=O)CC
ep-2318 C#CC(C=C)CC
ep-2319 C=CC(C)CCC
ep-2321 C=CC(C)CCF
ep-2322 C=CCC(C)C=C
ep-2323 C=CC(C)CC=O
ep-2324 C#CCC(C)C=C
ep-2325 CC=CC(C)CC
ep-2327 CCC(C)C=CF
ep-2328 CCC(C=O)C=O
ep-2329 C#CC(C=O)CC
ep-2330 CCCC(C)C=O
ep-2332 CC(C=O)CCF
ep-2333 C=CCC(C)C=O
ep-2334 CC(C=O)CC=O
ep-2335 C#CCC(C)C=O
ep-2336 C#CC(C#C)CC
ep-2337 C#CC(C)CCC
ep-2339 C#CC(C)CCF
ep-2340 C#CC(C)CC=C
ep-2341 C#CC(C)CC=O
ep-2342 C#CCC(C)C#C
ep-2343 CC#CC(C)CC
ep-2345 CCC(C)C#CF
ep-2346 CC(C)CC(C)C
ep-2348 CC(C)CC(C)F
ep-2349 C=C(C)CC(C)C
ep-2350 CC(=O)CC(C)C
ep-2351 CCCCC(C)C
ep-2353 CC(C)CCCF
ep-2354 C=CCCC(C)C
ep-2355 CC(C)CCC=O
ep-2356 C#CCCC(C)C
ep-2361 COCCC(C)C
ep-2362 CC(C)CC(F)F
ep-2363 C=C(F)CC(C)C
ep-2364 CC(C)CC(=O)F
ep-2365 CC=CCC(C)C
ep-2367 CC(C)CC=CF
ep-2368 CC#CCC(C)C
ep-2370 CC(C)CC#CF
ep-2385 COC(F)C(C)C
ep-2391 C=C(OC)C(C)C
ep-2400 COC(=O)C(C)C
ep-2414 COCC(C)CF
ep-2418 C=CC(C)COC
ep-2424 COCC(C)C=O
ep-2426 C#CC(C)COC
ep-2430 CCOCC(C)C
ep-2432 CC(C)COCF
ep-2433 C=COCC(C)C
ep-2434 CC(C)COC=O
ep-2435 C#COCC(C)C
ep-2436 CC(C)C(F)(F)F
ep-2437 CC(CF)C(F)F
ep-2438 C=CC(C)C(F)F
ep-2439 CC(C=O)C(F)F
ep-2440 C#CC(C)C(F)F
