ep-423 CC(C)(C)C=O
ep-431 COC(C)(C)C
ep-436 CC(C)(F)C=O
ep-442 CC(=O)C(C)C
ep-447 CCC(C)C=O
ep-453 CC(C)CC=O
ep-464 COCC(C)C
ep-467 CC(C)C(=O)F
ep-470 CC(C=O)CF
ep-473 C=CC(C)C=O
ep-478 CC(C=O)C=O
ep-479 C#CC(C)C=O
ep-497 COC(C)(C)F
ep-508 CCC(C)OC
ep-533 COC(C)CF
ep-537 C=CC(C)OC
ep-543 COC(C)C=O
ep-545 C#CC(C)OC
ep-549 CCOC(C)C
ep-551 CC(C)OCF
ep-552 C=COC(C)C
ep-553 CC(C)OC=O
ep-554 C#COC(C)C
ep-559 CC(F)(F)C=O
ep-563 CC(=O)C(C)F
ep-568 CCC(F)C=O
ep-574 CC(F)CC=O
ep-585 COCC(C)F
ep-588 CC(F)C(=O)F
ep-591 O=CC(F)CF
ep-594 C=CC(F)C=O
ep-599 O=CC(F)C=O
ep-600 C#CC(F)C=O
ep-606 C=C(C)C(C)=O
ep-611 C=C(C=O)CC
ep-620 C=C(C)CC=O
ep-634 C=C(C)COC
ep-637 C=C(C)C(=O)F
ep-640 C=C(C=O)CF
ep-646 C=CC(=C)C=O
ep-654 C=C(C=O)C=O
ep-655 C#CC(=C)C=O
ep-656 CC=C(C)C=O
ep-658 CC(C=O)=CF
ep-673 CC(C)=CC=O
ep-677 COC=C(C)C
ep-679 CC(=O)C(C)=O
ep-680 CCC(=O)CC
ep-682 CCC(=O)CF
ep-683 C=CC(=O)CC
ep-684 CCC(=O)C=O
ep-685 C#CC(=O)CC
ep-686 CCCC(C)=O
ep-688 CC(=O)CCF
ep-689 C=CCC(C)=O
ep-690 CC(=O)CC=O
ep-691 C#CCC(C)=O
ep-701 COCC(C)=O
ep-702 CC(=O)C(F)F
ep-703 C=C(F)C(C)=O
ep-704 CC(=O)C(=O)F
ep-705 O=C(CF)CF
ep-706 C=CC(=O)CF
ep-707 O=CC(=O)CF
ep-708 C#CC(=O)CF
ep-709 C=CC(=O)C=C
ep-710 C=CC(=O)C=O
ep-711 C#CC(=O)C=C
ep-712 CC=CC(C)=O
ep-714 CC(=O)C=CF
ep-715 O=CC(=O)C=O
ep-716 C#CC(=O)C=O
ep-717 C#CC(=O)C#C
ep-718 CC#CC(C)=O
ep-720 CC(=O)C#CF
ep-725 CCCCC=O
ep-736 CCCCOC
ep-739 CCCC(=O)F
ep-742 O=CCCCF
ep-745 C=CCCC=O
ep-750 O=CCCC=O
ep-751 C#CCCC=O
ep-770 CCC(F)OC
ep-776 C=C(CC)OC
ep-785 CCC(=O)OC
ep-790 COCCCF
ep-791 C=CCCOC
ep-795 COCCC=O
ep-796 C#CCCOC
ep-800 CCCOCC
ep-802 CCCOCF
ep-803 C=COCCC
ep-804 CCCOC=O
ep-805 C#COCCC
ep-809 O=CCC(F)F
ep-813 C=C(F)CC=O
ep-818 O=C(F)CCF
ep-819 C=CCC(=O)F
ep-820 O=CCC(=O)F
ep-821 C#CCC(=O)F
ep-831 CC=CCC=O
ep-833 O=CCC=CF
ep-846 CCC=CC=O
ep-850 CCC=COC
ep-852 CC#CCC=O
ep-854 O=CCC#CF
ep-862 CCC#CC=O
ep-864 CCC#COC
ep-896 COC(C)OC
ep-908 COC(C)(F)F
ep-917 COC(F)CF
ep-918 C=CC(F)OC
ep-922 COC(F)C=O
ep-923 C#CC(F)OC
ep-927 CCOC(C)F
ep-929 CC(F)OCF
ep-930 C=COC(C)F
ep-931 CC(F)OC=O
ep-932 C#COC(C)F
ep-943 C=C(CF)OC
ep-947 C=CC(=C)OC
ep-954 C=C(C=O)OC
ep-958 C#CC(=C)OC
ep-965 CC=C(C)OC
ep-967 COC(C)=CF
ep-968 C=C(C)OCC
ep-970 C=C(C)OCF
ep-971 C=COC(=C)C
ep-972 C=C(C)OC=O
ep-973 C#COC(=C)C
ep-991 COC(=O)CF
ep-992 C=CC(=O)OC
ep-996 COC(=O)C=O
ep-997 C#CC(=O)OC
ep-1001 CCOC(C)=O
ep-1003 CC(=O)OCF
ep-1004 C=COC(C)=O
ep-1005 CC(=O)OC=O
ep-1006 C#COC(C)=O
ep-1007 COCCOC
ep-1015 COCC(F)F
ep-1016 C=C(F)COC
ep-1020 COCC(=O)F
ep-1021 CCOCCF
ep-1023 FCCOCF
ep-1024 C=COCCF
ep-1025 O=COCCF
ep-1026 C#COCCF
ep-1027 CC=CCOC
ep-1029 COCC=CF
ep-1030 C=CCOCC
ep-1032 C=CCOCF
ep-1033 C=CCOC=C
ep-1034 C=CCOC=O
ep-1035 C#COCC=C
ep-1046 CCOCC=O
ep-1048 O=CCOCF
ep-1049 C=COCC=O
ep-1050 O=CCOC=O
ep-1051 C#COCC=O
ep-1052 CC#CCOC
ep-1054 COCC#CF
ep-1055 C#CCOCC
ep-1057 C#CCOCF
ep-1058 C#CCOC=C
ep-1059 C#CCOC=O
ep-1060 C#CCOC#C
ep-1071 CCOCOC
ep-1072 CCOC(F)F
ep-1073 C=C(F)OCC
ep-1074 CCOC(=O)F
ep-1075 CC=COCC
ep-1077 CCOC=CF
ep-1078 CC#COCC
ep-1080 CCOC#CF
ep-1083 O=CC(F)(F)F
ep-1087 O=C(F)C(F)F
ep-1095 C=C(F)C(=O)F
ep-1105 CC=C(F)C=O
ep-1107 O=CC(F)=CF
ep-1117 CC(F)=CC=O
ep-1121 COC=C(C)F
ep-1123 O=C(F)C(=O)F
ep-1124 CC=CC(=O)F
ep-1126 O=C(F)C=CF
ep-1127 CC#CC(=O)F
ep-1129 O=C(F)C#CF
ep-1132 O=CC=CCF
ep-1136 COC=CCF
ep-1140 O=CC#CCF
ep-1142 COC#CCF
ep-1147 C=CC=CC=O
ep-1153 C=CC=COC
ep-1156 O=CC=CC=O
ep-1157 C#CC=CC=O
ep-1160 COC=CC=O
ep-1161 O=CC=C(F)F
ep-1171 C#CC=COC
ep-1177 C=CC#CC=O
ep-1179 C=CC#COC
ep-1181 CC=C(F)OC
ep-1183 CC=COCF
ep-1184 C=COC=CC
ep-1185 CC=COC=O
ep-1186 C#COC=CC
ep-1187 O=CC#CC=O
ep-1188 C#CC#CC=O
ep-1189 COC#CC=O
ep-1196 C#CC#COC
ep-1199 CC#COCF
ep-1200 C=COC#CC
ep-1201 CC#COC=O
ep-1202 C#COC#CC
ep-1212 COC(F)OC
ep-1218 C=C(OC)OC
ep-1230 COC(=O)OC
ep-1237 COCOCF
ep-1238 C=COCOC
ep-1239 COCOC=O
ep-1240 C#COCOC
ep-1248 COC(F)(F)F
ep-1249 FCOC(F)F
ep-1250 C=COC(F)F
ep-1251 O=COC(F)F
ep-1252 C#COC(F)F
ep-1254 COC(F)=CF
ep-1255 C=C(F)OCF
ep-1256 C=COC(=C)F
ep-1257 C=C(F)OC=O
ep-1258 C#COC(=C)F
ep-1262 O=C(F)OCF
ep-1263 C=COC(=O)F
ep-1264 O=COC(=O)F
ep-1265 C#COC(=O)F
ep-1267 FC=COCF
ep-1269 FC#COCF
ep-1273 COC=COC
ep-1274 COC=C(F)F
ep-1275 C=COC=CF
ep-1276 O=COC=CF
ep-1277 C#COC=CF
ep-1279 C=COC#CF
ep-1281 O=COC#CF
ep-1283 COC#COC
ep-1284 C#COC#CF
ep-1291 CC1(C)COC1
ep-1296 CC1(C)CC1=O
ep-1297 CC1(C=O)CC1
ep-1300 CC1OC1(C)C
ep-1302 CCC1(C)CO1
ep-1304 CC1(C)CCO1
ep-1311 CC1(C)OC1F
ep-1313 CC1(CF)CO1
ep-1315 C=C1OC1(C)C
ep-1317 C=CC1(C)CO1
ep-1319 CC1(C)OC1=O
ep-1321 CC1(C=O)CO1
ep-1323 C#CC1(C)CO1
ep-1324 COC1(C)CC1
ep-1330 CC1(F)COC1
ep-1335 CC1(F)CC1=O
ep-1336 O=CC1(F)CC1
ep-1342 CC1COC1C
ep-1343 CC(C)C1CO1
ep-1348 CC(=O)C1CC1
ep-1349 CC1CCC1=O
ep-1360 CCC1COC1
ep-1361 CC1CCOC1
ep-1371 CC1C(=O)C1C
ep-1372 CC1CC1C=O
ep-1373 CCC1CC1=O
ep-1374 O=CC1CCC1
ep-1386 O=CCC1CC1
ep-1387 CC1CC(=O)C1
ep-1394 CC1COC1F
ep-1396 C=C1OCC1C
ep-1398 CC1COC1=O
ep-1405 FCC1COC1
ep-1409 C=CC1COC1
ep-1410 CC1C=COC1
ep-1414 O=CC1COC1
ep-1416 C#CC1COC1
ep-1417 CC1C#COC1
ep-1418 COC1CC1C
ep-1419 COCC1CC1
ep-1423 O=C(F)C1CC1
ep-1429 CC1C(=O)C1F
ep-1430 O=CC1CC1F
ep-1431 O=C1CC1CF
ep-1436 C=C1C(=O)C1C
ep-1437 C=C1CC1C=O
ep-1438 C=CC1CC1=O
ep-1447 CC1C(=O)C1=O
ep-1448 O=CC1CC1=O
ep-1449 C#CC1CC1=O
ep-1473 COC1(C)CO1
ep-1474 CC1(C)OCO1
ep-1475 CC1OC1(C)F
ep-1476 CCC1(F)CO1
ep-1478 CC1(F)CCO1
ep-1484 CC1(F)OC1F
ep-1485 FCC1(F)CO1
ep-1487 C=C1OC1(C)F
ep-1488 C=CC1(F)CO1
ep-1490 CC1(F)OC1=O
ep-1491 O=CC1(F)CO1
ep-1492 C#CC1(F)CO1
ep-1493 COC1(F)CC1
ep-1497 CC(F)C1CO1
ep-1499 CC1OCC1F
ep-1500 C=C(C)C1CO1
ep-1502 C=C1COC1C
ep-1503 CC(=O)C1CO1
ep-1505 CC1OCC1=O
ep-1506 CCC1OC1C
ep-1507 CCC1CCO1
ep-1515 CC1OC1CF
ep-1516 CCC1OC1F
ep-1517 FCC1CCO1
ep-1518 C=CC1OC1C
ep-1519 C=C1OC1CC
ep-1520 C=CC1CCO1
ep-1522 CC1OC1C=O
ep-1523 CCC1OC1=O
ep-1524 O=CC1CCO1
ep-1525 C#CC1OC1C
ep-1526 C#CC1CCO1
ep-1528 COC1CCC1
ep-1529 CC1CCCO1
ep-1530 CC1CC=CO1
ep-1531 CC1CC#CO1
ep-1532 CCCC1CO1
ep-1533 CC1CC(C)O1
ep-1537 FCCC1CO1
ep-1539 CC1CC(F)O1
ep-1540 C=CCC1CO1
ep-1542 C=C1CC(C)O1
ep-1543 O=CCC1CO1
ep-1545 CC1CC(=O)O1
ep-1546 C#CCC1CO1
ep-1572 COC1COC1
ep-1573 CC1COCO1
ep-1574 COC1OC1C
ep-1575 COCC1CO1
ep-1577 CC1OC1(F)F
ep-1578 FC(F)C1CO1
ep-1579 C=C(F)C1CO1
ep-1580 O=C(F)C1CO1
ep-1582 FCC1OC1F
ep-1584 C=CC1OC1F
ep-1585 C=C1OC1CF
ep-1587 O=CC1OC1F
ep-1588 O=C1OC1CF
ep-1589 C#CC1OC1F
ep-1590 COC1CC1F
ep-1592 C=CC1OC1=C
ep-1595 C=C1OC1C=O
ep-1596 C=CC1OC1=O
ep-1597 C#CC1OC1=C
ep-1599 C=C1CC1OC
ep-1600 CC1C=CCO1
ep-1602 CC=C1OC1C
ep-1603 CC=CC1CO1
ep-1608 CC1OC1=CF
ep-1609 FC=CC1CO1
ep-1611 O=CC1OC1=O
ep-1612 C#CC1OC1=O
ep-1613 COC1CC1=O
ep-1615 CC1C#CCO1
ep-1616 CC#CC1CO1
ep-1618 FC#CC1CO1
ep-1619 CCOC1CC1
ep-1621 FCOC1CC1
ep-1622 C=COC1CC1
ep-1623 O=COC1CC1
ep-1624 C#COC1CC1
ep-1626 FC1(F)COC1
ep-1629 O=C1CC1(F)F
ep-1632 O=C1CCC1F
ep-1636 FC1CCOC1
ep-1641 O=C1CC(F)C1
ep-1643 FC1COC1F
ep-1644 C=C1OCC1F
ep-1645 O=C1OCC1F
ep-1646 FC1C=COC1
ep-1647 FC1C#COC1
ep-1650 O=C1C(F)C1F
ep-1653 C=C1C(=O)C1F
ep-1658 O=C1C(=O)C1F
ep-1661 C=C1CCC1=O
ep-1665 C=C1CCOC1
ep-1673 CC1=COCC1
ep-1676 C=C1CC(=O)C1
ep-1678 C=C1COC1F
ep-1679 C=C1COC1=C
ep-1680 C=C1COC1=O
ep-1681 C=C1C=COC1
ep-1682 C=C1C#COC1
ep-1683 CC=C1COC1
ep-1684 CC1=CCOC1
ep-1686 FC=C1COC1
ep-1689 C=c1c(=C)c1=O
ep-1694 Cc1ccoc1
ep-1696 C=C1C(=O)C1=O
ep-1697 CC=C1CC1=O
ep-1699 O=C1CC1=CF
ep-1702 Cc1c#coc1
ep-1705 CC(C)=C1CO1
ep-1711 O=CC=C1CC1
ep-1715 COC=C1CC1
ep-1717 O=C1CCC1=O
ep-1718 O=C1CCCC1
ep-1719 O=C1CC=CC1
ep-1720 O=C1CC#CC1
ep-1721 O=C1CCOC1
ep-1722 O=C1C=CCC1
ep-1723 O=C1C#CCC1
ep-1724 O=C1CC(=O)C1
ep-1726 O=C1COC1F
ep-1727 C=C1OCC1=O
