ep-11584 CC(C)OC(C)(C)C
ep-11586 CC(F)OC(C)(C)C
ep-11587 C=C(C)OC(C)(C)C
ep-11588 CC(=O)OC(C)(C)C
ep-11589 CCOC(C)(C)CC
ep-11591 CCOC(C)(C)CF
ep-11592 C=CC(C)(C)OCC
ep-11593 CCOC(C)(C)C=O
ep-11594 C#CC(C)(C)OCC
ep-11595 CCCOC(C)(C)C
ep-11597 CC(C)(C)OCCF
ep-11598 C=CCOC(C)(C)C
ep-11599 CC(C)(C)OCC=O
ep-11600 C#CCOC(C)(C)C
ep-11611 COCOC(C)(C)C
ep-11612 CC(C)(C)OC(F)F
ep-11613 C=C(F)OC(C)(C)C
ep-11614 CC(C)(C)OC(=O)F
ep-11615 CCC(C)(C)OCF
ep-11617 CC(C)(CF)OCF
ep-11618 C=CC(C)(C)OCF
ep-11619 CC(C)(C=O)OCF
ep-11620 C#CC(C)(C)OCF
ep-11621 C=COC(C)(C)CC
ep-11623 C=COC(C)(C)CF
ep-11624 C=COC(C)(C)C=C
ep-11625 C=COC(C)(C)C=O
ep-11626 C#CC(C)(C)OC=C
ep-11627 CC=COC(C)(C)C
ep-11629 CC(C)(C)OC=CF
ep-11630 CCC(C)(C)OC=O
ep-11632 CC(C)(CF)OC=O
ep-11633 C=CC(C)(C)OC=O
ep-11634 CC(C)(C=O)OC=O
ep-11635 C#CC(C)(C)OC=O
ep-11636 C#COC(C)(C)CC
ep-11638 C#COC(C)(C)CF
ep-11639 C#COC(C)(C)C=C
ep-11640 C#COC(C)(C)C=O
ep-11641 C#COC(C)(C)C#C
ep-11642 CC#COC(C)(C)C
ep-11644 CC(C)(C)OC#CF
ep-11645 COC(C)(C)C(C)C
ep-11647 COC(C)(C)C(C)F
ep-11648 C=C(C)C(C)(C)OC
ep-11649 COC(C)(C)C(C)=O
ep-11650 CCC(C)(CC)OC
ep-11652 CCC(C)(CF)OC
ep-11653 C=CC(C)(CC)OC
ep-11654 CCC(C)(C=O)OC
ep-11655 C#CC(C)(CC)OC
ep-11656 CCCC(C)(C)OC
ep-11658 COC(C)(C)CCF
ep-11659 C=CCC(C)(C)OC
ep-11660 COC(C)(C)CC=O
ep-11661 C#CCC(C)(C)OC
ep-11671 COCC(C)(C)OC
ep-11672 COC(C)(C)C(F)F
ep-11673 C=C(F)C(C)(C)OC
ep-11674 COC(C)(C)C(=O)F
ep-11675 COC(C)(CF)CF
ep-11676 C=CC(C)(CF)OC
ep-11677 COC(C)(C=O)CF
ep-11678 C#CC(C)(CF)OC
ep-11679 C=CC(C)(C=C)OC
ep-11680 C=CC(C)(C=O)OC
ep-11681 C#CC(C)(C=C)OC
ep-11682 CC=CC(C)(C)OC
ep-11684 COC(C)(C)C=CF
ep-11685 COC(C)(C=O)C=O
ep-11686 C#CC(C)(C=O)OC
ep-11687 C#CC(C)(C#C)OC
ep-11688 CC#CC(C)(C)OC
ep-11690 COC(C)(C)C#CF
ep-11702 CCOC(C)(C)OC
ep-11730 COC(C)(C)OCF
