ep-11584 CC(C)OC(C)(C)C
ep-11587 C=C(C)OC(C)(C)C
ep-11589 CCOC(C)(C)CC
ep-11592 C=CC(C)(C)OCC
ep-11594 C#CC(C)(C)OCC
ep-11595 CCCOC(C)(C)C
ep-11598 C=CCOC(C)(C)C
ep-11600 C#CCOC(C)(C)C
ep-11611 COCOC(C)(C)C
ep-11621 C=COC(C)(C)CC
ep-11624 C=COC(C)(C)C=C
ep-11626 C#CC(C)(C)OC=C
ep-11627 CC=COC(C)(C)C
ep-11636 C#COC(C)(C)CC
ep-11639 C#COC(C)(C)C=C
ep-11641 C#COC(C)(C)C#C
ep-11642 CC#COC(C)(C)C
ep-11645 COC(C)(C)C(C)C
ep-11648 C=C(C)C(C)(C)OC
ep-11650 CCC(C)(CC)OC
ep-11653 C=CC(C)(CC)OC
ep-11655 C#CC(C)(CC)OC
ep-11656 CCCC(C)(C)OC
ep-11659 C=CCC(C)(C)OC
ep-11661 C#CCC(C)(C)OC
ep-11671 COCC(C)(C)OC
ep-11679 C=CC(C)(C=C)OC
ep-11681 C#CC(C)(C=C)OC
ep-11682 CC=CC(C)(C)OC
ep-11687 C#CC(C)(C#C)OC
ep-11688 CC#CC(C)(C)OC
ep-11702 CCOC(C)(C)OC
ep-11737 C=COC(C)(C)OC
ep-11754 C#COC(C)(C)OC
ep-11769 CCC(C)(OC)OC
ep-11798 C=CC(C)(OC)OC
ep-11806 C#CC(C)(OC)OC
ep-11917 CCC(C)OC(C)C
ep-11920 C=CC(C)OC(C)C
ep-11922 C#CC(C)OC(C)C
ep-11937 COC(C)OC(C)C
ep-11951 C=C(C)OC(C)CC
ep-11954 C=CC(C)OC(=C)C
ep-11956 C#CC(C)OC(=C)C
ep-11957 C=C(CC)OC(C)C
ep-11960 C=CC(=C)OC(C)C
ep-11962 C#CC(=C)OC(C)C
ep-11963 CC=C(C)OC(C)C
ep-11978 CCOC(C)C(C)C
ep-11981 C=C(C)C(C)OCC
ep-11983 CCOC(CC)CC
ep-11986 C=CC(CC)OCC
ep-11988 C#CC(CC)OCC
ep-11989 CCCOC(C)CC
ep-11992 C=CCOC(C)CC
ep-11994 C#CCOC(C)CC
ep-11995 CCCC(C)OCC
ep-11998 C=CCC(C)OCC
ep-12000 C#CCC(C)OCC
ep-12016 CCOC(C)COC
ep-12030 C=CC(C=C)OCC
ep-12032 C#CC(C=C)OCC
ep-12033 C=CC(C)OCCC
ep-12036 C=CCOC(C)C=C
ep-12038 C#CCOC(C)C=C
ep-12039 CC=CC(C)OCC
ep-12050 C#CC(C#C)OCC
ep-12051 C#CC(C)OCCC
ep-12054 C#CC(C)OCC=C
ep-12056 C#CCOC(C)C#C
ep-12057 CC#CC(C)OCC
ep-12060 CC(C)COC(C)C
ep-12063 C=C(C)COC(C)C
ep-12065 CCCCOC(C)C
ep-12068 C=CCCOC(C)C
ep-12070 C#CCCOC(C)C
ep-12075 COCCOC(C)C
ep-12079 CC=CCOC(C)C
ep-12082 CC#CCOC(C)C
ep-12108 C=C(OC)OC(C)C
ep-12130 CCC(C)OCOC
ep-12159 C=CC(C)OCOC
ep-12167 C#CC(C)OCOC
ep-12171 CCOCOC(C)C
ep-12174 C=COCOC(C)C
ep-12176 C#COCOC(C)C
ep-12245 C=COC(C)C(C)C
ep-12248 C=COC(C)C(=C)C
ep-12250 C=COC(CC)CC
ep-12253 C=COC(C=C)CC
ep-12255 C#CC(CC)OC=C
ep-12256 CC=COC(C)CC
ep-12259 C=COC(C)CCC
ep-12262 C=CCC(C)OC=C
ep-12264 C#CCC(C)OC=C
ep-12277 C=COC(C)COC
ep-12288 C=COC(C=C)C=C
ep-12290 C#CC(C=C)OC=C
ep-12291 C=CC(C)OC=CC
ep-12294 C=COC(C)C=CC
ep-12302 C#CC(C#C)OC=C
ep-12303 C#CC(C)OC=CC
ep-12306 C=COC(C)C#CC
ep-12309 CC(C)=COC(C)C
ep-12312 CCC=COC(C)C
ep-12315 C=CC=COC(C)C
ep-12317 C#CC=COC(C)C
ep-12320 COC=COC(C)C
ep-12368 C#COC(C)C(C)C
ep-12371 C#COC(C)C(=C)C
ep-12373 C#COC(CC)CC
ep-12376 C#COC(C=C)CC
ep-12378 C#COC(C#C)CC
ep-12379 CC#COC(C)CC
ep-12382 C#COC(C)CCC
ep-12385 C#COC(C)CC=C
ep-12387 C#CCC(C)OC#C
ep-12400 C#COC(C)COC
ep-12411 C#COC(C=C)C=C
ep-12413 C#COC(C#C)C=C
ep-12414 C=CC(C)OC#CC
ep-12417 C#COC(C)C=CC
ep-12425 C#COC(C#C)C#C
ep-12426 C#CC(C)OC#CC
ep-12429 C#COC(C)C#CC
ep-12432 CCC#COC(C)C
