ep-65725 CC#CC(C)OC=CC
ep-65727 C=C(C#CC)OC=CC
ep-65728 CC#CCOC(C)=CC
ep-65731 CC#CCOC=C(C)C
ep-65734 CC=COCC#CCC
ep-65737 C=CC#CCOC=CC
ep-65739 C#CC#CCOC=CC
ep-65740 CC#CCOC=CCC
ep-65743 C=CC=COCC#CC
ep-65745 C#CC=COCC#CC
ep-65761 CC#CCOC=COC
ep-65776 C=COC(C)C#CCC
ep-65779 C=COC(=C)C#CCC
ep-65780 C=C(C)OCC#CCC
ep-65783 C=COCC#CC(C)C
ep-65786 C=COCC#CC(=C)C
ep-65788 C=COCC#CCCC
ep-65791 C=CCC#CCOC=C
ep-65793 C#CCC#CCOC=C
ep-65805 C=COCC#CCOC
ep-65816 C=CC#CC(C)OC=C
ep-65819 C=CC#CC(=C)OC=C
ep-65820 C=CC#CCOC(=C)C
ep-65823 C=COCC#CC=CC
ep-65833 C#CC#CC(C)OC=C
ep-65836 C#CC#CC(=C)OC=C
ep-65837 C#CC#CCOC(=C)C
ep-65840 C=COCC#CC#CC
ep-65852 CC=COCC#COC
ep-65877 C=COC(C)C#COC
ep-65879 C=COC(=C)C#COC
ep-65880 C=C(C)OCC#COC
ep-65883 C=COCC#COCC
ep-65886 C=COC#CCOC=C
ep-65888 C#COC#CCOC=C
ep-66055 C#COC(C#CC)OC
ep-66115 CC#COC(C)C#CC
ep-66116 C=C(C#CC)OC#CC
ep-66117 CC#COCC#CCC
ep-66120 C=CC#CCOC#CC
ep-66122 C#CC#CCOC#CC
ep-66123 CC#CCOC#CCC
ep-66126 C=CC#COCC#CC
ep-66128 C#CC#COCC#CC
ep-66137 CC#CCOC#COC
ep-66146 C#COC(C)C#CCC
ep-66147 C#COC(=C)C#CCC
ep-66148 C#COCC#CC(C)C
ep-66151 C#COCC#CC(=C)C
ep-66153 C#COCC#CCCC
ep-66156 C#COCC#CCC=C
ep-66158 C#CCC#CCOC#C
ep-66165 C#COCC#CCOC
ep-66171 C#COC(C)C#CC=C
ep-66172 C#COC(=C)C#CC=C
ep-66173 C#COCC#CC=CC
ep-66178 C#CC#CC(C)OC#C
ep-66179 C#CC#CC(=C)OC#C
ep-66180 C#COCC#CC#CC
ep-66185 CC#COCC#COC
ep-66199 C#COC(C)C#COC
ep-66200 C#COC(=C)C#COC
ep-66201 C#COCC#COCC
ep-66204 C#COCC#COC=C
ep-66206 C#COC#CCOC#C
ep-66220 COCC#CC(C)OC
ep-66223 C=C(C#CCOC)OC
ep-66225 CCOCC#CCOC
ep-66273 COCOC(C)=C(C)C
ep-66276 CCC(C)=COCOC
ep-66279 C=CC(C)=COCOC
ep-66281 C#CC(C)=COCOC
ep-66282 COC(C)OC=C(C)C
ep-66283 C=C(OC)OC=C(C)C
ep-66285 CCOCOC=C(C)C
ep-66288 C=COCOC=C(C)C
ep-66290 C#COCOC=C(C)C
ep-66330 CCC=C(C)OCOC
ep-66335 COCOC=CC(C)C
ep-66338 C=C(C)C=COCOC
ep-66340 CCC=COC(C)OC
ep-66341 C=C(OC)OC=CCC
ep-66343 CCCC=COCOC
ep-66346 C=CCC=COCOC
ep-66348 C#CCC=COCOC
ep-66349 CCC=COCOCC
ep-66352 C=COCOC=CCC
ep-66354 C#COCOC=CCC
ep-66390 COCC=COCOC
ep-66460 C=CC=C(C)OCOC
ep-66465 C=CC=COC(C)OC
ep-66466 C=CC=COC(=C)OC
ep-66468 CC=CC=COCOC
ep-66471 C=CC=COCOCC
ep-66474 C=CC=COCOC=C
ep-66476 C#COCOC=CC=C
ep-66528 C#CC=C(C)OCOC
ep-66533 C#CC=COC(C)OC
ep-66534 C#CC=COC(=C)OC
ep-66536 CC#CC=COCOC
ep-66539 C#CC=COCOCC
ep-66542 C#CC=COCOC=C
ep-66544 C#CC=COCOC#C
ep-69244 C=CC(C)(C=CC)OC
ep-69266 CC=CC(C=CC)OC
ep-69280 C#CC(C)(C=CC)OC
ep-69371 COC(C)=C(OC)OC
ep-69373 CCOC(=COC)OC
ep-69376 C=COC(=COC)OC
ep-69378 C#COC(=COC)OC
ep-69379 CCOC=C(OC)OC
ep-69382 C=COC=C(OC)OC
ep-69384 C#COC=C(OC)OC
ep-70670 C=C(C)C(C)(CC)OC
ep-70711 CCC(CC)(CC)OC
ep-70733 C=CC(CC)(CC)OC
ep-70746 C#CC(CC)(CC)OC
ep-70758 CCCC(C)(CC)OC
ep-70797 C=CCC(C)(CC)OC
ep-70813 C#CCC(C)(CC)OC
ep-70868 C=CC(C=C)(CC)OC
ep-70882 C#CC(C=C)(CC)OC
ep-70898 C#CC(C#C)(CC)OC
ep-70974 C=CC(C=C)(C=C)OC
ep-70978 C#CC(C=C)(C=C)OC
ep-70984 C#CC(C#C)(C=C)OC
ep-70990 C#CC(C#C)(C#C)OC
ep-71019 CCC(CC)(OC)OC
ep-71309 CCC(C)(OC)C(C)C
ep-71310 CCC(OC)C(C)(C)C
ep-71313 COC(C(C)C)C(C)C
ep-71316 C=C(C)C(OC)C(C)C
ep-71318 CCC(C)C(CC)OC
ep-71321 C=CC(C)C(CC)OC
ep-71323 C#CC(C)C(CC)OC
ep-71324 CCOC(CC)C(C)C
ep-71327 C=COC(CC)C(C)C
ep-71329 C#COC(CC)C(C)C
ep-71330 CCCC(OC)C(C)C
ep-71333 C=CCC(OC)C(C)C
ep-71334 C#CCC(OC)C(C)C
ep-71358 C=C(C)C(OC)C(=C)C
ep-71360 C=C(CC)C(CC)OC
ep-71363 C=CC(=C)C(CC)OC
ep-71365 C#CC(=C)C(CC)OC
ep-71366 C=C(C)C(CC)OCC
ep-71369 C=COC(CC)C(=C)C
ep-71371 C#COC(CC)C(=C)C
ep-71372 CC=C(C)C(CC)OC
ep-71375 C=C(C)C(CCC)OC
ep-71378 C=CCC(OC)C(=C)C
ep-71380 C#CCC(OC)C(=C)C
ep-71464 CCC(CC(C)C)OC
ep-71467 C=C(C)CC(CC)OC
ep-71469 CCCC(CC)OCC
ep-71472 C=COC(CC)CCC
ep-71474 C#COC(CC)CCC
ep-71475 CCCC(CCC)OC
ep-71478 C=CCC(CCC)OC
ep-71479 C#CCC(CCC)OC
ep-71480 CCCCC(CC)OC
ep-71483 C=CCCC(CC)OC
ep-71485 C#CCCC(CC)OC
ep-71504 CCC(CCOC)OC
ep-71521 C=CCC(CC)OCC
ep-71524 C=CCC(CC)OC=C
ep-71526 C#COC(CC)CC=C
ep-71527 C=CCC(CC=C)OC
ep-71528 C#CCC(CC=C)OC
ep-71529 CC=CCC(CC)OC
ep-71542 C#CCC(CC)OCC
ep-71545 C#CCC(CC)OC=C
ep-71547 C#CCC(CC)OC#C
ep-71548 C#CCC(CC#C)OC
ep-71549 CC#CCC(CC)OC
ep-71552 CCOC(C)(CC)CC
ep-71554 CCC(CC)OC(C)C
ep-71557 C=C(C)OC(CC)CC
ep-71559 CCCOC(CC)CC
ep-71562 C=CCOC(CC)CC
ep-71564 C#CCOC(CC)CC
ep-71571 CCC(CC)OCOC
ep-71577 C=COC(C)(CC)CC
ep-71579 CC=COC(CC)CC
ep-71584 C#COC(C)(CC)CC
ep-71586 CC#COC(CC)CC
ep-71633 C=COC(CC)COC
ep-71676 C#COC(CC)COC
ep-72286 CC=COC(C)COC
ep-72287 C=C(COC)OC=CC
ep-72289 CC=COCC(C)OC
ep-72292 C=C(COC=CC)OC
ep-72294 CC=C(C)OCCOC
ep-72296 COCCOC=C(C)C
ep-72299 CC=COCCOCC
ep-72301 C=COCCOC=CC
ep-72303 C#COCCOC=CC
ep-72304 CCC=COCCOC
ep-72307 C=CC=COCCOC
ep-72309 C#CC=COCCOC
ep-72329 COC=COCCOC
ep-72348 C=COCC(C)OC=C
ep-72351 C=COCC(=C)OC=C
ep-72353 C=COCCOC(=C)C
ep-72369 C#COCC(C)OC=C
ep-72372 C#COCC(=C)OC=C
ep-72374 C#COC(C)COC=C
ep-72377 C#COC(=C)COC=C
ep-72379 C#COCCOC(=C)C
ep-72381 C=COCCOC#CC
ep-72433 CC#COC(C)COC
