ep-667454 FCC(F)(F)OC(F)(F)F
ep-667455 FC(F)OC(F)(F)C(F)F
ep-667456 FCOC(F)(F)C(F)(F)F
ep-667457 FC(F)C(F)OC(F)(F)F
ep-667458 FC(F)OC(F)C(F)(F)F
ep-667459 FC(F)(F)COC(F)(F)F
ep-667460 FC(F)=C(F)OC(F)(F)F
ep-667466 FC(F)(F)C1(F)OC1(F)F
ep-667467 FC1(F)OC(F)(F)C1(F)F
ep-667468 CC(F)(CF)OC(F)(F)F
ep-667469 CC(F)(OC(F)F)C(F)F
ep-667470 FCC(F)(CF)OC(F)F
ep-667471 CC(F)(OCF)C(F)(F)F
ep-667472 FCOC(F)(CF)C(F)F
ep-667473 COC(F)(CF)C(F)(F)F
ep-667474 COC(F)(C(F)F)C(F)F
ep-667475 CC(OC(F)(F)F)C(F)F
ep-667476 FCC(CF)OC(F)(F)F
ep-667477 CC(OC(F)F)C(F)(F)F
ep-667478 FCC(OC(F)F)C(F)F
ep-667479 FCOC(CF)C(F)(F)F
ep-667480 FCOC(C(F)F)C(F)F
ep-667481 COC(C(F)F)C(F)(F)F
ep-667487 C=C(OC(F)(F)F)C(F)F
ep-667488 FC=C(CF)OC(F)(F)F
ep-667489 CC(OC(F)(F)F)=C(F)F
ep-667490 C=C(OC(F)F)C(F)(F)F
ep-667491 FC=C(OC(F)F)C(F)F
ep-667492 FCC(OC(F)F)=C(F)F
ep-667493 FC=C(OCF)C(F)(F)F
ep-667494 FCOC(=C(F)F)C(F)F
ep-667495 COC(=C(F)F)C(F)(F)F
ep-667496 CC(F)(F)OC(F)(F)CF
ep-667497 CC(F)OC(F)(F)C(F)F
ep-667498 FCC(F)OC(F)(F)CF
ep-667499 CC(F)(F)OC(F)C(F)F
ep-667500 CCOC(F)(F)C(F)(F)F
ep-667501 FCCOC(F)(F)C(F)F
ep-667502 FCC(F)(F)OCC(F)F
ep-667503 CC(F)(F)OCC(F)(F)F
ep-667504 CC(F)OC(F)C(F)(F)F
ep-667505 FCC(F)OC(F)C(F)F
ep-667506 FCCOC(F)C(F)(F)F
ep-667507 FC(F)COC(F)C(F)F
ep-667508 FCC(F)OCC(F)(F)F
ep-667509 FC(F)COCC(F)(F)F
ep-667516 C=C(F)OC(F)(F)C(F)F
ep-667517 FC=C(F)OC(F)(F)CF
ep-667518 CC(F)(F)OC(F)=C(F)F
ep-667519 C=COC(F)(F)C(F)(F)F
ep-667520 FC=COC(F)(F)C(F)F
ep-667521 FCC(F)(F)OC=C(F)F
ep-667522 C=C(F)OC(F)C(F)(F)F
ep-667523 FC=C(F)OC(F)C(F)F
