ep-716598 FC(F)C(F)(F)OC(F)(F)F
ep-716599 FC(F)OC(F)(F)C(F)(F)F
ep-716600 FC(OC(F)(F)F)C(F)(F)F
ep-716603 CC(F)(OC(F)(F)F)C(F)F
ep-716604 FCC(F)(CF)OC(F)(F)F
ep-716605 CC(F)(OC(F)F)C(F)(F)F
ep-716606 FCC(F)(OC(F)F)C(F)F
ep-716607 FCOC(F)(CF)C(F)(F)F
ep-716608 FCOC(F)(C(F)F)C(F)F
ep-716609 COC(F)(C(F)F)C(F)(F)F
ep-716610 CC(OC(F)(F)F)C(F)(F)F
ep-716611 FCC(OC(F)(F)F)C(F)F
ep-716612 FCC(OC(F)F)C(F)(F)F
ep-716613 FC(F)OC(C(F)F)C(F)F
ep-716614 FCOC(C(F)F)C(F)(F)F
ep-716615 COC(C(F)(F)F)C(F)(F)F
ep-716619 C=C(OC(F)(F)F)C(F)(F)F
ep-716620 FC=C(OC(F)(F)F)C(F)F
ep-716621 FCC(OC(F)(F)F)=C(F)F
ep-716622 FC=C(OC(F)F)C(F)(F)F
ep-716623 FC(F)=C(OC(F)F)C(F)F
ep-716624 FCOC(=C(F)F)C(F)(F)F
ep-716625 CC(F)(F)OC(F)(F)C(F)F
ep-716626 FCC(F)(F)OC(F)(F)CF
ep-716627 CC(F)OC(F)(F)C(F)(F)F
ep-716628 FCC(F)OC(F)(F)C(F)F
ep-716629 FCC(F)(F)OC(F)C(F)F
ep-716630 CC(F)(F)OC(F)C(F)(F)F
ep-716631 FCCOC(F)(F)C(F)(F)F
ep-716632 FC(F)COC(F)(F)C(F)F
ep-716633 FCC(F)(F)OCC(F)(F)F
ep-716634 FCC(F)OC(F)C(F)(F)F
ep-716635 FC(F)C(F)OC(F)C(F)F
ep-716636 FC(F)COC(F)C(F)(F)F
ep-716637 FC(F)C(F)OCC(F)(F)F
ep-716638 FC(F)(F)COCC(F)(F)F
ep-716642 C=C(F)OC(F)(F)C(F)(F)F
ep-716643 FC=C(F)OC(F)(F)C(F)F
ep-716644 FCC(F)(F)OC(F)=C(F)F
ep-716645 FC=COC(F)(F)C(F)(F)F
ep-716646 FC(F)=COC(F)(F)C(F)F
ep-716647 FC=C(F)OC(F)C(F)(F)F
ep-716648 FC(F)=C(F)OC(F)C(F)F
ep-716649 FC(F)=COC(F)C(F)(F)F
ep-716650 FC(F)=C(F)OCC(F)(F)F
ep-716651 FC#COC(F)(F)C(F)(F)F
ep-716652 CC(F)C(F)(F)OC(F)(F)F
ep-716653 FCCC(F)(F)OC(F)(F)F
ep-716654 CC(F)(F)C(F)(F)OC(F)F
ep-716655 FCC(F)C(F)(F)OC(F)F
ep-716656 FC(F)CC(F)(F)OC(F)F
ep-716657 FCOC(F)(F)C(F)(F)CF
ep-716658 FCOC(F)(F)C(F)C(F)F
ep-716659 FCOC(F)(F)CC(F)(F)F
ep-716660 COC(F)(F)C(F)(F)C(F)F
ep-716661 COC(F)(F)C(F)C(F)(F)F
ep-716662 CC(F)(F)C(F)OC(F)(F)F
ep-716663 FCC(F)C(F)OC(F)(F)F
ep-716664 FC(F)CC(F)OC(F)(F)F
ep-716665 FCC(F)(F)C(F)OC(F)F
ep-716666 FC(F)OC(F)C(F)C(F)F
ep-716667 FC(F)OC(F)CC(F)(F)F
ep-716668 FCOC(F)C(F)(F)C(F)F
ep-716669 FCOC(F)C(F)C(F)(F)F
ep-716670 COC(F)C(F)(F)C(F)(F)F
ep-716671 FCC(F)(F)COC(F)(F)F
ep-716672 FC(F)C(F)COC(F)(F)F
ep-716673 FC(F)(F)CCOC(F)(F)F
ep-716674 FC(F)OCC(F)(F)C(F)F
ep-716675 FC(F)OCC(F)C(F)(F)F
ep-716676 FCOCC(F)(F)C(F)(F)F
ep-716680 C=C(F)C(F)(F)OC(F)(F)F
ep-716681 FC=CC(F)(F)OC(F)(F)F
ep-716682 FC=C(F)C(F)(F)OC(F)F
ep-716683 FC(F)=CC(F)(F)OC(F)F
ep-716684 FCOC(F)(F)C(F)=C(F)F
ep-716685 FC=C(F)C(F)OC(F)(F)F
ep-716686 FC(F)=CC(F)OC(F)(F)F
ep-716687 FC(F)=C(F)C(F)OC(F)F
ep-716688 FC(F)=C(F)COC(F)(F)F
ep-716689 FC#CC(F)(F)OC(F)(F)F
ep-716752 FC(F)=C(F)OC(F)=C(F)F
ep-716753 FCC(F)=C(F)OC(F)(F)F
ep-716754 FC(=CC(F)F)OC(F)(F)F
ep-716755 FC(OC(F)F)=C(F)C(F)F
ep-716756 FC(=CC(F)(F)F)OC(F)F
ep-716757 FCOC(F)=C(F)C(F)(F)F
ep-716758 FC(=COC(F)(F)F)C(F)F
ep-716759 FC(F)(F)C=COC(F)(F)F
ep-716760 FC(=COC(F)F)C(F)(F)F
ep-716764 FC(F)(F)C#COC(F)(F)F
ep-716765 FCOC(F)(F)OC(F)(F)F
ep-716766 FC(F)OC(F)(F)OC(F)F
ep-716767 FC(F)OC(F)OC(F)(F)F
ep-716768 FC(F)(F)OCOC(F)(F)F
ep-716779 FCC1(C(F)(F)F)OC1(F)F
ep-716780 FC(F)C1(C(F)F)OC1(F)F
ep-716781 FC(F)C1(C(F)(F)F)OC1F
ep-716782 FC(F)(F)C1(C(F)(F)F)CO1
ep-716783 FCC1(F)OC(F)(F)C1(F)F
ep-716784 FC(F)C1(F)OC(F)(F)C1F
ep-716785 FC1(F)CC(F)(C(F)(F)F)O1
ep-716786 FC1OC(F)(C(F)F)C1(F)F
ep-716787 FC1OC(F)(C(F)(F)F)C1F
ep-716788 FC(F)(F)C1(F)OCC1(F)F
ep-716789 FC(F)C1OC(F)(F)C1(F)F
ep-716790 FC1C(C(F)(F)F)OC1(F)F
ep-716791 FC1OC(C(F)(F)F)C1(F)F
ep-716792 FC(F)(F)OC1(F)CC1(F)F
ep-716793 FC1C(F)C1(F)OC(F)(F)F
ep-716794 FC(F)OC1(F)C(F)C1(F)F
ep-716795 FCOC1(F)C(F)(F)C1(F)F
ep-716796 FC1C(OC(F)(F)F)C1(F)F
ep-716797 FC(F)OC1C(F)(F)C1(F)F
ep-716798 FC1(F)OC(F)(C(F)(F)F)O1
ep-716799 FC(F)(F)OC1(F)OC1(F)F
ep-716800 FC(F)=C1OC1(F)C(F)(F)F
ep-716801 FC(F)=C1OC(F)(F)C1(F)F
ep-716802 FC(F)=C(F)C1(F)OC1(F)F
ep-716805 FC1(F)OC(F)(F)C(F)(F)O1
ep-716806 FC(F)=C1C(F)(F)OC1(F)F
ep-716807 FC1=C(F)C(F)(F)OC1(F)F
ep-716808 FCC1(F)OC1(F)C(F)(F)F
ep-716809 FC(F)C1(F)OC1(F)C(F)F
ep-716810 FC(F)C1OC1(F)C(F)(F)F
ep-716811 FC(F)C1(F)OC1C(F)(F)F
ep-716812 FC(F)(F)C1OC1C(F)(F)F
ep-716813 FC1(F)CC(F)(F)C(F)(F)O1
ep-716814 FC1C(F)C(F)(F)OC1(F)F
ep-716815 FC1OC(F)(F)C(F)(F)C1F
