ep-774229 FC(F)(F)OC(F)(F)C(F)(F)F
ep-774230 CC(F)(OC(F)(F)F)C(F)(F)F
ep-774231 FCC(F)(OC(F)(F)F)C(F)F
ep-774232 FCC(F)(OC(F)F)C(F)(F)F
ep-774233 FC(F)OC(F)(C(F)F)C(F)F
ep-774234 FCOC(F)(C(F)F)C(F)(F)F
ep-774235 COC(F)(C(F)(F)F)C(F)(F)F
ep-774236 FCC(OC(F)(F)F)C(F)(F)F
ep-774237 FC(F)C(OC(F)(F)F)C(F)F
ep-774238 FC(F)OC(C(F)F)C(F)(F)F
ep-774239 FCOC(C(F)(F)F)C(F)(F)F
ep-774241 FC=C(OC(F)(F)F)C(F)(F)F
ep-774242 FC(F)=C(OC(F)(F)F)C(F)F
ep-774243 FC(F)=C(OC(F)F)C(F)(F)F
ep-774244 CC(F)(F)OC(F)(F)C(F)(F)F
ep-774245 FCC(F)(F)OC(F)(F)C(F)F
ep-774246 FCC(F)OC(F)(F)C(F)(F)F
ep-774247 FC(F)C(F)OC(F)(F)C(F)F
ep-774248 FCC(F)(F)OC(F)C(F)(F)F
ep-774249 FC(F)COC(F)(F)C(F)(F)F
ep-774250 FC(F)C(F)(F)OCC(F)(F)F
ep-774251 FC(F)C(F)OC(F)C(F)(F)F
ep-774252 FC(OCC(F)(F)F)C(F)(F)F
ep-774254 FC=C(F)OC(F)(F)C(F)(F)F
ep-774255 FC(F)=C(F)OC(F)(F)C(F)F
ep-774256 FC(F)=COC(F)(F)C(F)(F)F
ep-774257 FC(F)=C(F)OC(F)C(F)(F)F
ep-774258 CC(F)(F)C(F)(F)OC(F)(F)F
ep-774259 FCC(F)C(F)(F)OC(F)(F)F
ep-774260 FC(F)CC(F)(F)OC(F)(F)F
ep-774261 FCC(F)(F)C(F)(F)OC(F)F
ep-774262 FC(F)OC(F)(F)C(F)C(F)F
ep-774263 FC(F)OC(F)(F)CC(F)(F)F
ep-774264 FCOC(F)(F)C(F)(F)C(F)F
ep-774265 FCOC(F)(F)C(F)C(F)(F)F
ep-774266 COC(F)(F)C(F)(F)C(F)(F)F
ep-774267 FCC(F)(F)C(F)OC(F)(F)F
ep-774268 FC(F)C(F)C(F)OC(F)(F)F
ep-774269 FC(CC(F)(F)F)OC(F)(F)F
ep-774270 FC(F)OC(F)C(F)(F)C(F)F
ep-774271 FC(F)OC(F)C(F)C(F)(F)F
ep-774272 FCOC(F)C(F)(F)C(F)(F)F
ep-774273 FC(F)C(F)(F)COC(F)(F)F
ep-774274 FC(COC(F)(F)F)C(F)(F)F
ep-774275 FC(F)OCC(F)(F)C(F)(F)F
ep-774277 FC=C(F)C(F)(F)OC(F)(F)F
ep-774278 FC(F)=CC(F)(F)OC(F)(F)F
ep-774279 FC(F)=C(F)C(F)(F)OC(F)F
ep-774280 FC(F)=C(F)C(F)OC(F)(F)F
ep-774312 FC(OC(F)(F)F)=C(F)C(F)F
ep-774313 FC(=CC(F)(F)F)OC(F)(F)F
ep-774314 FC(OC(F)F)=C(F)C(F)(F)F
ep-774315 FC(=COC(F)(F)F)C(F)(F)F
ep-774317 FC(F)OC(F)(F)OC(F)(F)F
ep-774318 FC(OC(F)(F)F)OC(F)(F)F
ep-774322 FC(F)C1(C(F)(F)F)OC1(F)F
ep-774323 FC1OC1(C(F)(F)F)C(F)(F)F
ep-774324 FC(F)C1(F)OC(F)(F)C1(F)F
ep-774325 FC1C(F)(F)OC1(F)C(F)(F)F
ep-774326 FC1OC(F)(C(F)(F)F)C1(F)F
ep-774327 FC(F)(F)C1OC(F)(F)C1(F)F
ep-774328 FC1C(F)(F)C1(F)OC(F)(F)F
ep-774329 FC(F)OC1(F)C(F)(F)C1(F)F
ep-774330 FC(F)(F)OC1C(F)(F)C1(F)F
ep-774332 FC(F)C1(F)OC1(F)C(F)(F)F
ep-774333 FC(F)(F)C1OC1(F)C(F)(F)F
ep-774334 FC1C(F)(F)OC(F)(F)C1(F)F
ep-774335 FC1OC(F)(F)C(F)(F)C1(F)F
ep-774336 FC(F)C(F)(F)C1(F)OC1(F)F
ep-774337 FC(C(F)(F)F)C1(F)OC1(F)F
ep-774338 FC1(F)OC1C(F)(F)C(F)(F)F
ep-774339 FC1OC1(F)C(F)(F)C(F)(F)F
ep-774343 FC(F)C1(F)C(F)(F)OC1(F)F
ep-774344 FC(F)(F)C1C(F)(F)OC1(F)F
ep-774345 FC1OC(F)(F)C1(F)C(F)(F)F
ep-774350 CC(F)(OC(F)F)OC(F)(F)F
ep-774351 FCOC(F)(CF)OC(F)(F)F
ep-774352 COC(F)(OC(F)(F)F)C(F)F
ep-774353 FCC(F)(OC(F)F)OC(F)F
ep-774354 FCOC(F)(OC(F)F)C(F)F
ep-774355 COC(F)(OC(F)F)C(F)(F)F
ep-774356 FCOC(F)(OCF)C(F)(F)F
ep-774357 CC(OC(F)(F)F)OC(F)(F)F
ep-774358 FCC(OC(F)F)OC(F)(F)F
ep-774359 FCOC(OC(F)(F)F)C(F)F
ep-774360 COC(OC(F)(F)F)C(F)(F)F
ep-774361 FC(F)OC(OC(F)F)C(F)F
ep-774362 FCOC(OC(F)F)C(F)(F)F
ep-774365 C=C(OC(F)(F)F)OC(F)(F)F
ep-774366 FC=C(OC(F)F)OC(F)(F)F
ep-774367 FCOC(OC(F)(F)F)=C(F)F
ep-774368 FC(F)=C(OC(F)F)OC(F)F
ep-774369 CC(F)(F)OC(F)(F)OC(F)F
ep-774370 FCOC(F)(F)OC(F)(F)CF
ep-774371 COC(F)(F)OC(F)(F)C(F)F
ep-774372 CC(F)OC(F)(F)OC(F)(F)F
ep-774373 FCC(F)OC(F)(F)OC(F)F
ep-774374 FCOC(F)(F)OC(F)C(F)F
ep-774375 COC(F)(F)OC(F)C(F)(F)F
ep-774376 FCCOC(F)(F)OC(F)(F)F
ep-774377 FC(F)COC(F)(F)OC(F)F
ep-774378 FCOC(F)(F)OCC(F)(F)F
ep-774379 CC(F)(F)OC(F)OC(F)(F)F
ep-774380 FCC(F)(F)OC(F)OC(F)F
ep-774381 FCOC(F)OC(F)(F)C(F)F
ep-774382 COC(F)OC(F)(F)C(F)(F)F
ep-774383 FCC(F)OC(F)OC(F)(F)F
ep-774384 FC(F)OC(F)OC(F)C(F)F
ep-774385 FCOC(F)OC(F)C(F)(F)F
