ep-829488 FCC(F)(OC(F)(F)F)C(F)(F)F
ep-829489 FC(F)C(F)(OC(F)(F)F)C(F)F
ep-829490 FC(F)OC(F)(C(F)F)C(F)(F)F
ep-829491 FCOC(F)(C(F)(F)F)C(F)(F)F
ep-829492 FC(F)C(OC(F)(F)F)C(F)(F)F
ep-829493 FC(F)OC(C(F)(F)F)C(F)(F)F
ep-829494 FC(F)=C(OC(F)(F)F)C(F)(F)F
ep-829495 FCC(F)(F)OC(F)(F)C(F)(F)F
ep-829496 FC(F)C(F)(F)OC(F)(F)C(F)F
ep-829497 FC(F)C(F)OC(F)(F)C(F)(F)F
ep-829498 FC(OC(F)(F)C(F)F)C(F)(F)F
ep-829499 FC(F)(F)COC(F)(F)C(F)(F)F
ep-829500 FC(OC(F)C(F)(F)F)C(F)(F)F
ep-829501 FC(F)=C(F)OC(F)(F)C(F)(F)F
ep-829502 FCC(F)(F)C(F)(F)OC(F)(F)F
ep-829503 FC(F)C(F)C(F)(F)OC(F)(F)F
ep-829504 FC(F)(F)CC(F)(F)OC(F)(F)F
ep-829505 FC(F)OC(F)(F)C(F)(F)C(F)F
ep-829506 FC(F)OC(F)(F)C(F)C(F)(F)F
ep-829507 FCOC(F)(F)C(F)(F)C(F)(F)F
ep-829508 FC(F)C(F)(F)C(F)OC(F)(F)F
ep-829509 FC(OC(F)(F)F)C(F)C(F)(F)F
ep-829510 FC(F)OC(F)C(F)(F)C(F)(F)F
ep-829511 FC(F)(F)OCC(F)(F)C(F)(F)F
ep-829512 FC(F)=C(F)C(F)(F)OC(F)(F)F
ep-829525 FC(OC(F)(F)F)=C(F)C(F)(F)F
ep-829526 FC(F)(F)OC(F)(F)OC(F)(F)F
ep-829527 FC(F)(F)C1(C(F)(F)F)OC1(F)F
ep-829528 FC(F)(F)C1(F)OC(F)(F)C1(F)F
ep-829529 FC(F)(F)OC1(F)C(F)(F)C1(F)F
ep-829530 FC(F)(F)C1(F)OC1(F)C(F)(F)F
ep-829531 FC1(F)OC(F)(F)C(F)(F)C1(F)F
ep-829532 FC(F)(F)C(F)(F)C1(F)OC1(F)F
ep-829533 FC(F)(F)C1(F)C(F)(F)OC1(F)F
ep-829535 CC(F)(OC(F)(F)F)OC(F)(F)F
ep-829536 FCC(F)(OC(F)F)OC(F)(F)F
ep-829537 FCOC(F)(OC(F)(F)F)C(F)F
ep-829538 COC(F)(OC(F)(F)F)C(F)(F)F
ep-829539 FC(F)OC(F)(OC(F)F)C(F)F
ep-829540 FCOC(F)(OC(F)F)C(F)(F)F
ep-829541 FCC(OC(F)(F)F)OC(F)(F)F
ep-829542 FC(F)OC(OC(F)(F)F)C(F)F
ep-829543 FCOC(OC(F)(F)F)C(F)(F)F
ep-829544 FC(F)OC(OC(F)F)C(F)(F)F
ep-829546 FC=C(OC(F)(F)F)OC(F)(F)F
ep-829547 FC(F)=C(OC(F)F)OC(F)(F)F
ep-829548 CC(F)(F)OC(F)(F)OC(F)(F)F
ep-829549 FCC(F)(F)OC(F)(F)OC(F)F
ep-829550 FCOC(F)(F)OC(F)(F)C(F)F
ep-829551 COC(F)(F)OC(F)(F)C(F)(F)F
ep-829552 FCC(F)OC(F)(F)OC(F)(F)F
ep-829553 FC(F)OC(F)(F)OC(F)C(F)F
ep-829554 FCOC(F)(F)OC(F)C(F)(F)F
ep-829555 FC(F)COC(F)(F)OC(F)(F)F
ep-829556 FC(F)OC(F)(F)OCC(F)(F)F
ep-829557 FCC(F)(F)OC(F)OC(F)(F)F
ep-829558 FC(F)OC(F)OC(F)(F)C(F)F
ep-829559 FCOC(F)OC(F)(F)C(F)(F)F
ep-829560 FC(OC(F)C(F)F)OC(F)(F)F
ep-829561 FC(F)OC(F)OC(F)C(F)(F)F
ep-829562 FC(OCC(F)(F)F)OC(F)(F)F
ep-829563 FC(F)C(F)(F)OCOC(F)(F)F
ep-829564 FC(F)OCOC(F)(F)C(F)(F)F
ep-829565 FC(OCOC(F)(F)F)C(F)(F)F
ep-829566 FC=C(F)OC(F)(F)OC(F)(F)F
ep-829567 FC(F)=C(F)OC(F)(F)OC(F)F
ep-829568 FC(F)=COC(F)(F)OC(F)(F)F
ep-829569 FC(F)=C(F)OC(F)OC(F)(F)F
ep-829601 COC(F)(F)C(F)(F)OC(F)(F)F
ep-829602 FCOC(F)C(F)(F)OC(F)(F)F
ep-829603 FC(F)OCC(F)(F)OC(F)(F)F
ep-829604 FCOC(F)(F)C(F)(F)OC(F)F
ep-829605 FC(F)OC(F)C(F)(F)OC(F)F
ep-829606 FC(F)OC(F)(F)COC(F)(F)F
