ep-874249 FC(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-874250 FC(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-874251 FC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-874252 FC(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-874253 FC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-874254 FC(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-874255 FC(C(F)(F)F)C(F)(F)OC(F)(F)F
ep-874256 FC(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-874257 FC(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-874262 FCC(F)(OC(F)(F)F)OC(F)(F)F
ep-874263 FC(F)OC(F)(OC(F)(F)F)C(F)F
ep-874264 FCOC(F)(OC(F)(F)F)C(F)(F)F
ep-874265 FC(F)OC(F)(OC(F)F)C(F)(F)F
ep-874266 FC(F)C(OC(F)(F)F)OC(F)(F)F
ep-874267 FC(F)OC(OC(F)(F)F)C(F)(F)F
ep-874268 FC(F)=C(OC(F)(F)F)OC(F)(F)F
ep-874269 FCC(F)(F)OC(F)(F)OC(F)(F)F
ep-874270 FC(F)OC(F)(F)OC(F)(F)C(F)F
ep-874271 FCOC(F)(F)OC(F)(F)C(F)(F)F
ep-874272 FC(F)C(F)OC(F)(F)OC(F)(F)F
ep-874273 FC(F)OC(F)(F)OC(F)C(F)(F)F
ep-874274 FC(F)(F)COC(F)(F)OC(F)(F)F
ep-874275 FC(OC(F)(F)F)OC(F)(F)C(F)F
ep-874276 FC(F)OC(F)OC(F)(F)C(F)(F)F
ep-874277 FC(OC(F)C(F)(F)F)OC(F)(F)F
ep-874278 FC(F)(F)OCOC(F)(F)C(F)(F)F
ep-874279 FC(F)=C(F)OC(F)(F)OC(F)(F)F
ep-874292 FCOC(F)(F)C(F)(F)OC(F)(F)F
ep-874293 FC(F)OC(F)C(F)(F)OC(F)(F)F
ep-874294 FC(F)(F)OCC(F)(F)OC(F)(F)F
ep-874295 FC(F)OC(F)(F)C(F)(F)OC(F)F
ep-874296 FC(F)OC(F)(F)C(F)OC(F)(F)F
ep-874297 FC(OC(F)(F)F)C(F)OC(F)(F)F
ep-874298 FCC(F)(OC(F)(F)F)C(F)=C(F)F
ep-874299 FC=C(F)C(F)(OC(F)(F)F)C(F)F
ep-874300 C=C(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-874301 FC(F)=CC(F)(OC(F)(F)F)C(F)F
ep-874302 FC=CC(F)(OC(F)(F)F)C(F)(F)F
ep-874303 FC(F)=C(F)C(F)(OC(F)F)C(F)F
ep-874304 FC=C(F)C(F)(OC(F)F)C(F)(F)F
ep-874305 FC(F)=CC(F)(OC(F)F)C(F)(F)F
ep-874306 FCOC(F)(C(F)=C(F)F)C(F)(F)F
ep-874307 FC(F)=C(F)C(OC(F)(F)F)C(F)F
ep-874308 FC=C(F)C(OC(F)(F)F)C(F)(F)F
ep-874309 FC(F)=CC(OC(F)(F)F)C(F)(F)F
ep-874310 FC(F)=C(F)C(OC(F)F)C(F)(F)F
ep-874311 FC(F)=C(F)C(OC(F)(F)F)=C(F)F
ep-874312 FCC(F)(F)OC(F)(F)C(F)=C(F)F
ep-874313 FC=C(F)C(F)(F)OC(F)(F)C(F)F
ep-874314 C=C(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-874315 FC(F)=CC(F)(F)OC(F)(F)C(F)F
ep-874316 FC=CC(F)(F)OC(F)(F)C(F)(F)F
ep-874317 FC(F)=C(F)C(F)(F)OC(F)C(F)F
ep-874318 FC=C(F)C(F)(F)OC(F)C(F)(F)F
ep-874319 FC(F)=CC(F)(F)OC(F)C(F)(F)F
ep-874320 FC(F)=C(F)C(F)(F)OCC(F)(F)F
ep-874321 FC(F)=C(F)C(F)OC(F)(F)C(F)F
ep-874322 FC=C(F)C(F)OC(F)(F)C(F)(F)F
ep-874323 FC(F)=CC(F)OC(F)(F)C(F)(F)F
ep-874324 FC(F)=C(F)C(F)OC(F)C(F)(F)F
ep-874325 FC(F)=C(F)COC(F)(F)C(F)(F)F
ep-874326 FC(F)=C(F)OC(F)(F)C(F)=C(F)F
ep-874327 FCC(=C(F)F)C(F)(F)OC(F)(F)F
ep-874328 FC=C(C(F)F)C(F)(F)OC(F)(F)F
ep-874329 C=C(C(F)(F)F)C(F)(F)OC(F)(F)F
ep-874330 FC(F)=C(C(F)F)C(F)(F)OC(F)F
ep-874331 FC=C(C(F)(F)F)C(F)(F)OC(F)F
ep-874332 FCOC(F)(F)C(=C(F)F)C(F)(F)F
ep-874333 FC(F)=C(C(F)F)C(F)OC(F)(F)F
ep-874334 FC=C(C(F)OC(F)(F)F)C(F)(F)F
ep-874335 FC(F)=C(C(F)OC(F)F)C(F)(F)F
ep-874336 FC(F)=C(COC(F)(F)F)C(F)(F)F
ep-874337 FCC(F)=C(F)C(F)(F)OC(F)(F)F
ep-874338 FC(=CC(F)F)C(F)(F)OC(F)(F)F
ep-874339 FC(=CC(F)(F)OC(F)(F)F)C(F)F
ep-874340 FC(F)(F)C=CC(F)(F)OC(F)(F)F
ep-874341 FC(=C(F)C(F)(F)OC(F)F)C(F)F
ep-874342 FC(=CC(F)(F)F)C(F)(F)OC(F)F
ep-874343 FC(=CC(F)(F)OC(F)F)C(F)(F)F
ep-874344 FCOC(F)(F)C(F)=C(F)C(F)(F)F
ep-874345 FC(=C(F)C(F)OC(F)(F)F)C(F)F
ep-874346 FC(=CC(F)(F)F)C(F)OC(F)(F)F
ep-874347 FC(=CC(F)OC(F)(F)F)C(F)(F)F
ep-874348 FC(=C(F)C(F)(F)F)C(F)OC(F)F
ep-874349 FC(COC(F)(F)F)=C(F)C(F)(F)F
ep-874350 FC#CC(F)(OC(F)(F)F)C(F)(F)F
ep-874351 FC#CC(F)(F)OC(F)(F)C(F)(F)F
ep-874352 FC(F)(F)C#CC(F)(F)OC(F)(F)F
ep-874353 COC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-874354 FCOC(F)(CF)C(F)(F)C(F)(F)F
ep-874355 CC(F)(OC(F)F)C(F)(F)C(F)(F)F
ep-874356 COC(F)(C(F)(F)F)C(F)(F)C(F)F
ep-874357 FCOC(F)(C(F)F)C(F)(F)C(F)F
ep-874358 FCC(F)(OC(F)F)C(F)(F)C(F)F
ep-874359 CC(F)(OC(F)(F)F)C(F)(F)C(F)F
ep-874360 FCOC(F)(C(F)(F)F)C(F)(F)CF
ep-874361 FCC(F)(F)C(F)(OC(F)F)C(F)F
ep-874362 FCC(F)(F)C(F)(CF)OC(F)(F)F
ep-874363 CC(F)(F)C(F)(OC(F)F)C(F)(F)F
ep-874364 CC(F)(F)C(F)(OC(F)(F)F)C(F)F
ep-874365 COC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-874366 FCOC(F)(C(F)F)C(F)C(F)(F)F
ep-874367 FCC(F)(OC(F)F)C(F)C(F)(F)F
ep-874368 CC(F)(OC(F)(F)F)C(F)C(F)(F)F
ep-874369 FCOC(F)(C(F)C(F)F)C(F)(F)F
ep-874370 FC(F)OC(F)(C(F)F)C(F)C(F)F
ep-874371 FCC(F)(OC(F)(F)F)C(F)C(F)F
ep-874372 FCC(F)C(F)(OC(F)F)C(F)(F)F
ep-874373 FCC(F)C(F)(OC(F)(F)F)C(F)F
ep-874374 CC(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-874375 FCOC(F)(CC(F)(F)F)C(F)(F)F
ep-874376 FC(F)OC(F)(CC(F)(F)F)C(F)F
ep-874377 FCC(F)(CC(F)(F)F)OC(F)(F)F
ep-874378 FC(F)CC(F)(OC(F)F)C(F)(F)F
ep-874379 FC(F)CC(F)(OC(F)(F)F)C(F)F
ep-874380 FCCC(F)(OC(F)(F)F)C(F)(F)F
ep-874381 COC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-874382 FCOC(C(F)F)C(F)(F)C(F)(F)F
ep-874383 FCC(OC(F)F)C(F)(F)C(F)(F)F
ep-874384 CC(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-874385 FCOC(C(F)(F)F)C(F)(F)C(F)F
ep-874386 FC(F)OC(C(F)F)C(F)(F)C(F)F
ep-874387 FCC(OC(F)(F)F)C(F)(F)C(F)F
ep-874388 FCC(F)(F)C(OC(F)F)C(F)(F)F
ep-874389 FCC(F)(F)C(OC(F)(F)F)C(F)F
ep-874390 CC(F)(F)C(OC(F)(F)F)C(F)(F)F
ep-874391 FCOC(C(F)C(F)(F)F)C(F)(F)F
ep-874392 FC(F)OC(C(F)F)C(F)C(F)(F)F
ep-874393 FCC(OC(F)(F)F)C(F)C(F)(F)F
ep-874394 FC(F)OC(C(F)C(F)F)C(F)(F)F
ep-874395 FC(F)C(F)C(OC(F)(F)F)C(F)F
ep-874396 FCC(F)C(OC(F)(F)F)C(F)(F)F
ep-874397 FC(F)OC(CC(F)(F)F)C(F)(F)F
ep-874398 FC(F)C(CC(F)(F)F)OC(F)(F)F
ep-874399 FC(F)CC(OC(F)(F)F)C(F)(F)F
ep-874489 FCOC(=C(F)C(F)(F)F)C(F)(F)F
ep-874490 FC(=C(OC(F)F)C(F)(F)F)C(F)F
ep-874491 FCC(F)=C(OC(F)(F)F)C(F)(F)F
ep-874492 FC(=C(OC(F)F)C(F)F)C(F)(F)F
ep-874493 FC(=C(OC(F)(F)F)C(F)F)C(F)F
ep-874494 FCC(OC(F)(F)F)=C(F)C(F)(F)F
ep-874495 FC(F)OC(=CC(F)(F)F)C(F)(F)F
ep-874496 FC(F)C=C(OC(F)(F)F)C(F)(F)F
ep-874497 FC(F)C(=CC(F)(F)F)OC(F)(F)F
ep-874508 CC(OC(F)(F)F)(C(F)F)C(F)(F)F
ep-874509 FCC(CF)(OC(F)(F)F)C(F)(F)F
ep-874510 FCC(OC(F)(F)F)(C(F)F)C(F)F
ep-874511 CC(OC(F)F)(C(F)(F)F)C(F)(F)F
ep-874512 FCC(OC(F)F)(C(F)F)C(F)(F)F
ep-874513 FC(F)OC(C(F)F)(C(F)F)C(F)F
ep-874514 FCOC(CF)(C(F)(F)F)C(F)(F)F
ep-874515 FCOC(C(F)F)(C(F)F)C(F)(F)F
ep-874516 COC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-874519 CC(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-874520 FCC(F)(F)OC(F)(CF)C(F)(F)F
ep-874521 CC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-874522 FCC(F)(F)OC(F)(C(F)F)C(F)F
ep-874523 FCC(F)(OC(F)(F)C(F)F)C(F)F
ep-874524 CC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-874525 FCC(F)(CF)OC(F)(F)C(F)(F)F
ep-874526 CC(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-874527 FCC(F)OC(F)(C(F)F)C(F)(F)F
ep-874528 FCC(F)(OC(F)C(F)F)C(F)(F)F
