ep-922994 FC(F)(F)OC(F)(OC(F)(F)F)C(F)(F)F
ep-922995 FC(F)(F)OC(F)(F)OC(F)(F)C(F)(F)F
ep-922996 FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
ep-922997 FC(F)=C(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-922998 FC(F)=C(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-922999 FC(F)=C(C(F)(F)F)C(F)(F)OC(F)(F)F
ep-923000 FC(=C(F)C(F)(F)OC(F)(F)F)C(F)(F)F
ep-923001 FCOC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-923002 FC(F)OC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-923003 FCC(F)(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-923004 FC(F)OC(F)(C(F)(F)F)C(F)(F)C(F)F
ep-923005 FC(F)C(F)(F)C(F)(OC(F)(F)F)C(F)F
ep-923006 FCC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-923007 FC(F)OC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-923008 FC(F)C(F)(OC(F)(F)F)C(F)C(F)(F)F
ep-923009 FC(F)C(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-923010 FC(F)(F)CC(F)(OC(F)(F)F)C(F)(F)F
ep-923011 FC(F)OC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-923012 FC(F)C(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-923013 FC(F)C(F)(F)C(OC(F)(F)F)C(F)(F)F
ep-923014 FC(C(OC(F)(F)F)C(F)(F)F)C(F)(F)F
ep-923030 FC(=C(OC(F)(F)F)C(F)(F)F)C(F)(F)F
ep-923031 FCC(OC(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-923032 FC(F)C(OC(F)(F)F)(C(F)F)C(F)(F)F
ep-923033 FC(F)OC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-923034 FCOC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-923035 FCC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-923036 FC(F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-923037 FCC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923038 FC(F)C(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-923039 FC(F)C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-923040 FC(OC(F)(C(F)F)C(F)(F)F)C(F)(F)F
ep-923041 FC(F)(F)COC(F)(C(F)(F)F)C(F)(F)F
