ep-932035 FC(F)OC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932036 FC(F)C(F)(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-932037 FC(F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-932038 FC(C(F)(F)F)C(F)(OC(F)(F)F)C(F)(F)F
ep-932039 FC(F)(F)OC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932044 FC(F)C(OC(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-932045 FC(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-932046 FC(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932047 FC(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932048 FC(OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-932049 FC(F)(F)C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932050 FC(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-932051 FC(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-932052 FC(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)F
ep-932053 FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-932054 FC(OC(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-932055 FC(F)C(F)(C(F)(F)F)C(F)(F)OC(F)(F)F
ep-932056 FC(F)(F)OC(F)(F)C(C(F)(F)F)C(F)(F)F
ep-932057 FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F
ep-932058 FC(OC(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
ep-932059 FC(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-932060 FC(C(F)(F)F)C(F)(F)C(F)(F)OC(F)(F)F
ep-932061 FC(C(F)(F)OC(F)(F)F)C(F)(F)C(F)(F)F
ep-932062 FC(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ep-932063 FC(OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
ep-932068 CC(OC(F)(F)C(F)F)(C(F)(F)F)C(F)(F)F
ep-932069 FCC(F)(F)OC(CF)(C(F)(F)F)C(F)(F)F
ep-932070 CC(F)(F)OC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-932071 CC(OC(F)(F)C(F)(F)F)(C(F)F)C(F)(F)F
ep-932072 FCC(OC(F)(F)C(F)F)(C(F)F)C(F)(F)F
ep-932073 FCC(F)(F)OC(C(F)F)(C(F)F)C(F)(F)F
ep-932074 FCC(CF)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932075 FCC(OC(F)(F)C(F)(F)F)(C(F)F)C(F)F
ep-932076 FC(F)C(F)(F)OC(C(F)F)(C(F)F)C(F)F
ep-932077 CC(OC(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-932078 FCC(OC(F)C(F)F)(C(F)(F)F)C(F)(F)F
ep-932079 FCC(F)OC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-932080 CC(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
