ep-937282 FCC(OC(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937283 FC(F)C(F)(F)OC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-937284 FCC(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937285 FC(F)C(OC(F)(F)C(F)(F)F)(C(F)F)C(F)(F)F
ep-937286 FC(OC(C(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937287 FC(F)C(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937288 FC(F)(F)COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937289 FCC(F)(OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937290 FC(F)C(F)(OC(F)(C(F)(F)F)C(F)(F)F)C(F)F
ep-937291 FC(F)C(F)(OC(F)(C(F)F)C(F)(F)F)C(F)(F)F
ep-937292 FC(F)C(OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937293 FC(F)C(F)(OC(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937294 FC(F)(F)C(OC(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937295 FC(F)=C(OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937296 FCC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-937297 FC(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)C(F)F
ep-937298 FCC(F)(F)OC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-937299 FC(F)C(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-937300 FC(F)C(F)(F)OC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-937301 FCC(F)(OC(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-937302 FC(F)C(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-937303 FC(F)C(F)(F)OC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-937304 FC(F)C(F)(OC(F)(F)C(F)(F)F)C(F)C(F)(F)F
ep-937305 FC(F)(F)CC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-937306 FC(OC(F)(C(F)(F)F)C(F)(F)C(F)F)C(F)(F)F
ep-937307 FC(F)C(F)OC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-937308 FC(OC(F)(C(F)F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-937309 FC(OC(F)(C(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937310 FC(F)(F)COC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-937311 FC(F)C(F)(F)C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-937312 FC(F)C(F)(F)OC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-937313 FC(F)C(OC(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-937314 FC(C(OC(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937315 FC(OC(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-937316 FC(F)=C(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-937317 FCC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-937318 FC(F)C(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-937319 FC(F)(F)CC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-937320 FC(F)C(F)(F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-937321 FC(C(F)(F)F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-937322 FCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-937323 FC(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)F
ep-937324 FC(F)C(F)(F)C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-937325 FC(OC(F)(C(F)(F)F)C(F)(F)F)C(F)C(F)(F)F
